band,inception,musician
Auktyon,1978,Leonid Fedorov
BulletBoys,1987,Chris Holmes
Sexion d'Assaut,2002,JR O Crom
Crystal Castles,2004,Ethan Kath
BulletBoys,1987,Brent Fitz
BulletBoys,1987,Steven Adler
BulletBoys,1987,Marq Torien
BulletBoys,1987,"Anthony ""Tiny"" Biuso"
BulletBoys,1987,DJ Ashba
BulletBoys,1987,Scott Griffin
BulletBoys,1987,Melvin Brannon
BulletBoys,1987,Richard Madenfort
Auktyon,1978,Oleg Garkusza
BulletBoys,1987,Mick Sweda
BulletBoys,1987,Jason Hook
The Operation M.D.,2006,Todd Morse
McGuinness Flint,1970,Tom McGuinness
Versailles,2007,Jasmine You
BulletBoys,1987,Troy Patrick Farrell
BulletBoys,1987,Jimmy D'Anda
BulletBoys,1987,Keri Kelli
Negu Gorriak,1990,Fermin Muguruza
BulletBoys,1987,Vik Foxx
Telefon Tel Aviv,1999,Charles Cooper
Gyllene Tider,1977,Anders Herrlin
Hanson,1992,Isaac Hanson
Gyllene Tider,1977,Mats Persson
Novembers Doom,1989,Paul Kuhr
Madball,1988,Freddy Cricien
Gyllene Tider,1977,Micke ”Syd” Andersson
Gyllene Tider,1977,Per Gessle
Caravan,1968,Dave Sinclair
The Blue Hearts,1985,Hiroto Kōmoto
Telefon Tel Aviv,1999,Joshua Eustis
Planxty,1972,Christy Moore
Caravan,1968,Pye Hastings
A House,1985,Dave Couse
Gyllene Tider,1977,Göran Fritzson
Polysics,1997,Hiroyuki Hayashi
LM.C,2006,Maya
Space,1977,Didier Marouani
Orchestre national de jazz,1986,François Jeanneau
Tiamat,1987,Johan Edlund
A Perfect Circle,1999,Paz Lenchantin
Pankow,1981,Q1314457
Pankow,1981,Frank Hille
A Perfect Circle,1999,Billy Howerdel
Pankow,1981,André Herzberg
Pankow,1981,Rainer Kirchmann
Original Memphis Five,1917,Phil Napoleon
Pankow,1981,Ingo Griese
All,1987,Chad Price
A Touch of Class,1999,Alex Christensen
Pankow,1981,Kulle Dziuk
Pankow,1981,Hans-Jürgen Reznicek
ohGr,2000,Nivek Ogre
Pankow,1981,Jürgen Ehle
A Day to Remember,2003,Tom Denney
Pankow,1981,Stefan Dohanetz
A Skylit Drive,2005,Michael Jagmin
A Flock of Seagulls,1979,Mike Score
A,1995,Jason Perry
A,1995,Adam Perry
Lock Up,1998,Shane Embury
El Sueño de Morfeo,2002,Raquel del Rosario
iiO,2001,Nadia Ali
A Camp,2001,Niclas Frisk
A Camp,2001,Nina Persson
Mentors,1977,Eldon Hoke
Move,1997,yuri
The Proclaimers,1983,Craig Reid
A Camp,2001,Nathan Larson
KUKL,1983,Björk
The Proclaimers,1983,Charlie Reid
AMM,1965,Keith Rowe
ABC,1980,Martin Fry
AFI,1991,Davey Havok
A Rocket to the Moon,2006,Nick Santino
Thee Silver Mt. Zion,1999,Efrim Menuck
Eufonius,2003,Riya
Terrorgruppe,1993,Johnny Bottrop
Commodores,1968,Lionel Richie
Goodie Mob,1991,Big Gipp
Terrorgruppe,1993,Archi Alert
The Hives,1989,Pelle Almqvist
Eufonius,2003,Hajime Kikuchi
AC4,2008,David Sandström
A Perfect Circle,1999,Tim Alexander
The Tolkien Ensemble,1995,Caspar Reiff
Focus,1969,Thijs van Leer
A Perfect Circle,1999,James Iha
Animal Liberation Orchestra,1998,Zach Gill
Galija,1977,Nenad Milosavljević
Denki Groove,1989,Takkyu Ishino
Denki Groove,1989,Yoshinori Sunahara
Denki Groove,1989,Pierre Taki
Capercaillie,1984,Donald Shaw
Captain Beyond,1971,Bobby Caldwell
Hollywood Rose,1983,Axl Rose
Sōtaisei Riron,2006,Etsuko Yakushimaru
Foggy Mountain Boys,1948,Earl Scruggs
Candlebox,1990,Kevin Martin
Cap'n Jazz,1989,Tim Kinsella
Foggy Mountain Boys,1948,Lester Flatt
Cancer Bats,2004,Liam Cormier
Cardiacs,1977,Tim Smith
Cardiacs,1977,Christian Hayes
Cardiacs,1977,William D. Drake
Carbonized,1988,Christofer Johnsson
Cardiacs,1977,Jon Poole
Cardiacs,1977,Kavus Torabi
Cardiacs,1977,Mark Cawthra
Denki Groove,1989,Arashi Takahashi
Suicidal Tendencies,1981,Mike Clark
Brand X,1975,Kenwood Dennard
Suicidal Tendencies,1981,Mike Muir
Suicidal Tendencies,1981,Bob Heathcote
Suicidal Tendencies,1981,Greg Saenz
Suicidal Tendencies,1981,Amery Smith
Suicidal Tendencies,1981,Josh Paul
Suicidal Tendencies,1981,Jon Nelson
Bowling for Soup,1994,Jaret Reddick
Suicidal Tendencies,1981,Robert Trujillo
Suicidal Tendencies,1981,Josh Freese
Suicidal Tendencies,1981,Dean Pleasants
Suicidal Tendencies,1981,Louiche Mayorga
Borknagar,1995,Øystein Brun
Booker T. & the M.G.'s,1962,Booker T. Jones
Suicidal Tendencies,1981,Thomas Pridgen
Suicidal Tendencies,1981,"David Hidalgo, Jr."
Booker T. & the M.G.'s,1962,Steve Cropper
Suicidal Tendencies,1981,Brooks Wackerman
Suicidal Tendencies,1981,Rocky George
Suicidal Tendencies,1981,Grant Estes
Booker T. & the M.G.'s,1962,Al Jackson Jr
Suicidal Tendencies,1981,Jimmy DeGrasso
Booker T. & the M.G.'s,1962,Lewie Steinberg
Extrabreit,1978,Kai Havaii
Mudhoney,1988,Steve Turner
Mudhoney,1988,Dan Peters
Brand Nubian,1989,Grand Puba
Mudhoney,1988,Mark Arm
Boppin’B,1985,Didi Beck
Boppin’B,1985,Dirk Hartmann
Kaveret,1973,Gidi Gov
Mudhoney,1988,Guy Maddison
Kaveret,1973,Yoni Rechter
Kaveret,1973,Meir Fenigstein
Triakel,1994,Emma Härdelin
Mudhoney,1988,Matt Lukin
Kaveret,1973,Danny Sanderson
Kaveret,1973,Yitzhak Klapter
Kaveret,1973,Efraim Shamir
Kaveret,1973,Alon Oleartchik
Boys Don't Cry,1983,Nick Richards
Brand X,1975,Percy Jones
Die Kassierer,1985,Wolfgang Wendland
Brandt Brauer Frick,2008,Daniel Brandt
Brand X,1975,John Goodsall
Tab Two,1991,Hellmut Hattler
Brand New,2000,Jesse Lacey
Carcass,1985,Michael Amott
Hail of Bullets,2006,Dave Ingram
Bloodbath,1998,Peter Tägtgren
Villagers,2008,Jape
Brainstorm,1989,Renārs Kaupers
Mink DeVille,1974,Willy DeVille
Brainstorm,1989,Ingars Viļums
Mizar,1981,Goran Trajkoski
Bloodbath,1998,Dan Swanö
Bloodbath,1998,Jonas Renkse
Bloodbath,1998,Martin Axenrot
Nitro,1987,Jim Gillette
Auktyon,1978,Q24938299
Blue Mink,1969,Roger Coulam
Aura Noir,1993,Ole Moe
Body Count,1990,D-Roc the Executioner
Blues Project,1965,Andy Kulberg
Blonde Redhead,1993,Simone Pace
Suicide,1970,Alan Vega
Black Veil Brides,2006,Andy Biersack
Blonde Redhead,1993,Kazu Makino
Black Country Communion,2009,Glenn Hughes
The Turtles,1965,Howard Kaylan
Black Light Burns,2005,Wes Borland
Dance Hall Crashers,1987,Andrew Champion
Blues Incorporated,1961,Alexis Korner
Blonde Redhead,1993,Amedeo Pace
Klaus Mitffoch,1979,Lech Janerka
Black 'n Blue,1981,Tommy Thayer
UPA Dance,2002,Miguel Ángel Muñoz
UPA Dance,2002,Pablo Puyol
Blues Project,1965,Al Kooper
UPA Dance,2002,Dafne Fernández
Blackfire,1989,Klee Benally
One More Time,1992,Nanne Grönvall
Blankey Jet City,1987,Ken'ichi Asai
UPA Dance,2002,Raúl Peña
Soap Kills,1998,Zeid Hamdan
Blitzkrieg,1980,Brian Ross (singer)
UPA Dance,2002,Mónica Cruz
Haken,2007,Richard Henshall
Blood Axis,1989,Michael Moynihan
UPA Dance,2002,Edu del Prado
Blodwyn Pig,1968,Andy Pyle
Guster,1991,Joe Pisapia
Blankey Jet City,1987,Tatsuya Nakamura
Blind Illusion,1979,Marc Biedermann
UPA Dance,2002,Beatriz Luengo
UPA Dance,2002,Elisabeth Jordán
Dismember,1988,Matti Kärki
The Glitch Mob,2006,edIT
Haken,2007,Thomas MacLean
Black Moon,1992,Buckshot
John Mayall & the Bluesbreakers,1963,Eric Clapton
UPA Dance,2002,Silvia Marty
Dead by Sunrise,2005,Chester Bennington
Cartel,1995,Rotter Karakán
Blankey Jet City,1987,Toshiyuki Terui
HammerFall,1993,Johan Larsson
HammerFall,1993,Fredrik Larsson
Black Dice,1997,Eric Copeland
Tosca,1994,Kruder & Dorfmeister
HammerFall,1993,Anders Johansson
HammerFall,1993,Patrik Räfling
The Cult,1983,Ian Astbury
Solution .45,2008,Christian Älvestam
The Fat Boys,1982,Darren Robinson
Bleed the Dream,2003,Brandon Thomas
Blood for Blood,1995,Billy Graziadei
Solution .45,2008,Rolf Pilve
Black Artists Group,1968,Julius Hemphill
Blue October,1995,Justin Furstenfeld
HammerFall,1993,Pontus Norgren
Solution .45,2008,Jani Stefanovic
The Rubinoos,1970,Greg 'Curly' Keranen
Taking Back Sunday,1999,Adam Lazzara
Carcass,1985,Bill Steer
Carcass,1985,Jeffrey Walker
Solution .45,2008,Mikko Härkin
Blackalicious,1994,Gift of Gab
Carcass,1985,Ken Owen
Stealers Wheel,1972,Joe Egan
Skrew,1990,Adam Grossman
Bloodbath,1998,Anders Nyström
HammerFall,1993,Niklas Sundin
Bloodbath,1998,Joakim Karlsson
Bloodbath,1998,Per Eriksson
HammerFall,1993,Stefan Elmgren
Bomb the Music Industry!,2004,Jeff Rosenstock
The Hollies,1962,Graham Nash
Berrogüetto,1996,Guillerme Fernández
Stealers Wheel,1972,Gerry Rafferty
HammerFall,1993,Glenn Ljungström
HammerFall,1993,Magnus Rosén
Kingdom of Sorrow,2005,Jamey Jasta
Bloodbath,1998,Nick Holmes
Blurt,1979,Ted Milton
BLØF,1992,Chris Götte
Bloodbath,1998,Mikael Åkerfeldt
Hail of Bullets,2006,Paul Baayens
Blues Traveler,1987,John Popper
Casiopea,1977,Masaaki Hiyama
Casiopea,1977,Minoru Mukaiya
Casiopea,1977,Yoshihiro Naruse
Cassius,1988,Hubert Blanc-Francard
Cassius,1988,Philippe Zdar
Phoenix,1999,Deck d'Arcy
Phoenix,1999,Christian Mazzalai
Phoenix,1999,Thomas Mars
Phoenix,1999,Laurent Brancowitz
Carolina Chocolate Drops,2005,Rhiannon Giddens
Midnattsol,2002,Carmen Elise Espenæs
Casiopea,1977,Akira Jimbo
Our Lady Peace,1992,Jeremy Taggart
Casiopea,1977,Kiyomi Ōtaka
Carnal Forge,1997,Peter Tuthill
Casiopea,1977,Issei Noro
Casiopea,1977,Noriaki Kumagai
Casiopea,1977,Takashi Sasaki
Casiopea,1977,Tetsuo Sakurai
Carnage,1988,Michael Amott
Tokyo Police Club,2005,Dave Monks
Chiodos,2001,Craig Owens
TV-2,1981,Georg Olesen
G-Unit,1999,The Game
The Famous Flames,1953,Johnny Terry
Urban Connection,1996,Håkon Mjåset Johansen
G-Unit,1999,50 Cent
TV-2,1981,Hans Erik Lerchenfeld
Múm,1997,Sigurlaug Gísladóttir
TV-2,1981,Sven Gaul
Dirty Three,1992,Warren Ellis
Urban Connection,1996,Steinar Raknes
G-Unit,1999,Young Buck
of Montreal,1997,Kevin Barnes
G-Unit,1999,Kidd Kidd
TV-2,1981,Steffen Brandt
Urban Connection,1996,Frode Nymo
Ultravox,1973,John Foxx
G-Unit,1999,Lloyd Banks
G-Unit,1999,Tony Yayo
Morbid Angel,1984,David Vincent
Globe,1995,Keiko
deLillos,1984,Rune Lindstrøm
The Misfits,1977,Glenn Danzig
deLillos,1984,Øystein Jevanord
deLillos,1984,Svenn Arne Glosli
Supercell,2007,ryo
Supercell,2007,huke
Globe,1995,Tetsuya Komuro
Silversun Pickups,2002,Jack Kennedy
Globe,1995,Marc Panther
Globe,1995,Yoshiki
deLillos,1984,Lars Lundevall
deLillos,1984,Øystein Paasche
deLillos,1984,Lars Fredrik Beckstrøm
bless4,2003,Akino
Descendents,1978,Bill Stevenson
Supercell,2007,redjuice
Blutengel,1999,Chris Pohl
Up Dharma Down,2004,Armi Millare
Supercell,2007,Shirow Miwa
deLillos,1984,Lars Lillo Stenberg
Supercell,2007,Nagi Yanagi
Lukas Graham,2011,Lukas Forchhammer
Tomte,1991,Thees Uhlmann
Archie Bell & the Drells,1966,Archie Bell
Origin,1998,Paul Ryan
Guilt Machine,2009,Arjen Anthony Lucassen
Chokebore,1993,Troy von Balthazar
Vesania,1997,Tomasz Wróblewski
Sumo,1981,Alejandro Sokol
Sumo,1981,Roberto Pettinato
Mandinga,2002,Elena Ionescu
Sumo,1981,"Alberto ""Superman"" Troglio"
Sumo,1981,Germán Daffunchio
Arckanum,1993,Johan « Shamaatae » Lahger
Tormentor,1986,Attila Csihar
Shugo Chara Egg!,2008,Kanon Fukuda
Sumo,1981,Diego Arnedo
Sumo,1981,Luca Prodan
Sumo,1981,Stephanie Nuttal
Sumo,1981,Ricardo Mollo
Daron Malakian and Scars on Broadway,2006,Daron Malakian
Chickenfoot,2008,Michael Anthony
Chickenfoot,2008,Joe Satriani
Arcturus,1987,Jan Axel Blomberg
Chickenfoot,2008,Chad Smith
Kiruba,2003,Gabriela Villalba
Chickenfoot,2008,Sammy Hagar
Los Flechazos,1986,Alejandro Díez Garín
De Lirium's Order,2000,Tuomas Lintulaakso
Gåte,1999,Mats Paulsen
Lananeeneenoonoo,1988,Dawn French
The Stills,2000,Tim Fletcher
Type O Negative,1989,Peter Steele
Gåte,1999,Magnus Børmark
Gåte,1999,Jon Even Schärer
Heavy Trash,2005,Jon Spencer
Arcturus,1987,ICS Vortex
DoCo,1990,Noriko Hidaka
Michael Schenker Group,1979,Michael Schenker
DoCo,1990,Minami Takayama
Arcana,1995,Bill Laswell
Michael Schenker Group,1979,Cozy Powell
DoCo,1990,Rei Sakuma
DoCo,1990,Megumi Hayashibara
The Whitest Boy Alive,2003,Erlend Øye
DoCo,1990,Kikuko Inoue
Sledgeback,2004,Gábor Szakácsi
Gåte,1999,Kenneth Kapstad
Gåte,1999,Gunnhild Sundli
Gåte,1999,Sveinung Sundli
Cracker,1990,David Lowery
Nocturnus,1987,Mike Browning
Confederate Railroad,1987,Danny Shirley
Sleeper,1993,Louise Wener
Chocolove from AKB48,2007,Sae Miyazawa
Cauldron,2006,Ian Chains
Chocolove from AKB48,2007,Rina Nakanishi
Tube,1985,Hideyuki Kakuno
Tube,1985,Ryōji Matsumoto
Celesty,1998,Antti Railio
Celebration,1978,Charles Lloyd
Chocolove from AKB48,2007,Sayaka Akimoto
Celebration,1978,Mike Love
Tube,1985,Michiya Haruhata
Tube,1985,Nobuteru Maeda
Mother Love Bone,1987,Bruce Fairweather
Mother Love Bone,1987,Greg Gilmore
Mother Love Bone,1987,Andrew Wood
The Roots,1987,Black Thought
Mother Love Bone,1987,Jeff Ament
Cavalera Conspiracy,2007,Max Cavalera
Mother Love Bone,1987,Stone Gossard
The Lovin' Spoonful,1965,John Sebastian
Cavalera Conspiracy,2007,Tony Campos
Cavalera Conspiracy,2007,Joe Duplantier
The Roots,1987,Questlove
Cavalera Conspiracy,2007,Nate Newton
Cavalera Conspiracy,2007,Igor Pablo Cavalera
Cavalera Conspiracy,2007,Marc Rizzo
Firehose,1986,Mike Watt
Cellador,2004,Chris Petersen
Brigade M,1995,Tim Mudde
Magma,1969,Antoine Paganotti
Magma,1969,Lucien Zabuski
Magma,1969,Pierre Dutour
Magma,1969,Benoît Widemann
Magma,1969,Claude Engel
Magma,1969,Bernard Paganotti
Magma,1969,Claude Salmiéri
Magma,1969,Francis Moze
Magma,1969,Jacques Bolognesi
Magma,1969,Marc Éliard
Magma,1969,Dominique Bertram
Magma,1969,Guy Delacroix
Magma,1969,Teddy Lasry
Magma,1969,Klaus Blasquiz
Magma,1969,Patrick Gauthier
Magma,1969,Pierre-Michel Sivadier
Magma,1969,Laurent Thibault
Texas,1986,Michael Bannister
Magma,1969,Yochk’o Seffer
Magma,1969,Emmanuel Borghi
Texas,1986,Ross McFarlane
Texas,1986,Sharleen Spiteri
Magma,1969,Stella Vander
Texas,1986,Johnny McElhone
Magma,1969,Hervé Aknin
Magma,1969,Isabelle Feuillebois
Texas,1986,Eddie Campbell
Texas,1986,Ally McErlaine
Texas,1986,Tony McGovern
Horde,2007,Jayson Sherlock
Bright Eyes,1995,Mike Mogis
Bright Eyes,1995,Nate Walcott
Bright Eyes,1995,Conor Oberst
Xandria,1997,Lisa Middelhauve
Xandria,1997,Dianne van Giersbergen
Xandria,1997,Manuela Kraller
Leaves' Eyes,2003,Liv Kristine
Laibach,1980,Ivan Novak
Laibach,1980,Eva Breznikar
Laibach,1980,Luka Jamnik
Laibach,1980,Milan Fras
Laibach,1980,Mina Špiler
Laibach,1980,Janez Gabrič
Manfred Mann,1962,Manfred Mann
Napalm Death,1981,Danny Herrera
Machine Head,1991,Robb Flynn
Machine Head,1991,Chris Kontos
Napalm Death,1981,Mitch Harris
Abingdon Boys School,2005,Takanori Nishikawa
Machine Head,1991,Dave McClain
Above & Beyond,2000,Jono Grant
Abney Park,1997,Robert Brown
Napalm Death,1981,Shane Embury
Above & Beyond,2000,Tony McGuinness
Machine Head,1991,Phil Demmel
Abingdon Boys School,2005,Toshiyuki Kishi
Napalm Death,1981,Barney Greenway
Abingdon Boys School,2005,Sunao
Aborted,1995,Sven de Caluwé
Abhorrence,1989,Jukka Kolehmainen
Abingdon Boys School,2005,Hiroshi Shibasaki
Die Krupps,1980,Jürgen Engler
Above & Beyond,2000,Paavo Siljamäki
Abhorrence,1989,Waltteri Väyrynen
Siouxsie and the Banshees,1976,Sid Vicious
Abhorrence,1989,Tomi Koivusaari
Abhorrence,1989,Jussi Ahlroth
Celtic Frost,1984,Thomas Gabriel Fischer
Above the Law,1989,Cold 187um
Die Krupps,1980,Bernward Malaka
Dead Can Dance,1981,Brendan Perry
Celtic Frost,1984,Martin Eric Ain
Abhorrence,1989,Mikael Arnkil
Dead Can Dance,1981,Lisa Gerrard
Faith No More,1983,Jon Hudson
Abigail,1992,Yasuyuki Suzuki
McAuley Schenker Group,1987,Robin McAuley
Faith No More,1983,Jim Martin
Faith No More,1983,Roddy Bottum
Faith No More,1983,Mike Patton
Faith No More,1983,Billy Gould
Headhunter,1989,Marcel Schirmer
Cypress Hill,1986,"Eric ""Bobo"" Correa"
Faith No More,1983,Courtney Love
Faith No More,1983,Mike Bordin
Faith No More,1983,Dean Menta
Cypress Hill,1986,DJ Muggs
Cypress Hill,1986,Sen Dog
Faith No More,1983,Trey Spruance
Cypress Hill,1986,B-Real
Manfred Mann,1962,Paul Jones
Think About Mutation,1992,Rajko Gohlke
Faith No More,1983,Chuck Mosley
The Distillers,1998,Brody Dalle
Course of Nature,2001,Mark Wilkerson
The Distillers,1998,Rose Mazzola
Unleashed,1989,Fredrik Lindgren
Karnivool,1997,Andrew Brown
The Brides of Funkenstein,1978,Lynn Mabry
The Distillers,1998,Ryan Sinn
Magma,1969,Jannick Top
Magma,1969,François Cahen
Magma,1969,Christian Vander
Magma,1969,Marc Fosset
Magma,1969,Michel Graillier
Bury Your Dead,2001,Mat Bruso
Stars of the Lid,1993,Brian McBride
Puddle of Mudd,1992,Wes Scantlin
The Raconteurs,2005,Jack White
Magma,1969,Simon Goubert
Distorted,1996,Miri Milman
Magma,1969,Didier Lockwood
Brick & Lace,2004,Nyanda
Brick & Lace,2004,Nyla
Stars of the Lid,1993,Adam Wiltzie
Underoath,1997,Spencer Chamberlain
Dixie Dregs,1970,Steve Morse
Go-Bang's,1983,Kaori Moriwaka
The Fall,1976,Mark E. Smith
Krux,2002,Leif Edling
Spin Doctors,1990,Christopher Barron Gross
The Runaways,1975,Cherie Currie
The Runaways,1975,Joan Jett
All Time Low,2003,Jack Barakat
Spin Doctors,1990,Eric Schenkman
The Flower Kings,1994,Roine Stolt
Krux,2002,Mats Levén
Glass Casket,2001,Blake Richardson
Leningrad,1997,Sergey Shnurov
Skrewdriver,1976,Ian Stuart Donaldson
Dream Evil,1999,Fredrik Nordström
Razorlight,2002,Johnny Borrell
Grazhdanskaya Oborona,1984,Natalia Chumakova
Devo,1972,Mark Mothersbaugh
The Dirty Mac,1968,John Lennon
The Distillers,1998,Tony Bevilacqua
Grazhdanskaya Oborona,1984,Yanka Dyagileva
Enter Shikari,2003,Rou Reynolds
Hari Mata Hari,1985,Hari Varešanović
Grazhdanskaya Oborona,1984,Yegor Letov
The Distillers,1998,Andy Granelli
Bad Astronaut,2000,Joey Cape
Backyard Babies,1987,Nicke Borg
Babe Ruth,1971,Jeff Allen
Babyshambles,2003,Pete Doherty
Blaqk Audio,2001,Jade Puget
B2K,1998,Lil' Fizz
Black Uhuru,1972,Michael Rose
Back Door,1971,Colin Hodgkinson
Bajaga i Instruktori,1984,Momčilo Bajagić Bajaga
Azúcar Moreno,1984,Encarna Salazar
Azúcar Moreno,1984,Toñi Salazar
AxeWound,2012,Liam Cormier
Gramary,1997,Deil
Balance of Power,1995,Lionel Hicks
Biohazard,1987,Evan Seinfeld
Bruce-Baker-Moore,1994,Gary Moore
Before the Dawn,1999,Tuomas Saukkonen
Bad English,1987,John Waite
Bad Copy,1996,Ajs Nigrutin
Before the Dawn,1999,Lars Eric Si
Before the Dawn,1999,Juho Räihä
Before the Dawn,1999,Atte Palokangas
Brujeria,1989,Dino Cazares
Badfinger,1969,Pete Ham
BZN,1966,Jan Tuijp
BZN,1966,Thomas Tol
Arthemesia,1994,Jari Mäenpää
Before the Dawn,1999,Dani Miettinen
Bachman–Turner Overdrive,1973,Robbie Bachman
Arthemesia,1994,Kai Hahto
Balkan Beat Box,2003,Ori Kaplan
BZN,1966,Carola Smit
Bad Manners,1976,Buster Bloodvessel
Bad News,1983,Ade Edmondson
Arthemesia,1994,Erna Siikavirta
BZN,1966,Jan Keizer
Blaqk Audio,2001,Davey Havok
BZN,1966,Cees Tol
BZN,1966,Anny Schilder
Bump of Chicken,1994,Hideo Masu
Bump of Chicken,1994,Yoshifumi Naoi
Outlawz,1995,Tupac Shakur
Outlawz,1995,Yaki Kadafi
Canary Club,2007,Ayumi Takada
Canary Club,2007,Yurie Matsui
Canary Club,2007,Reiko Okada
Canary Club,2007,Riho Sugiura
Canary Club,2007,Yuma Uchita
Outlawz,1995,Hussein Fatal
The Drifters,1953,Johnny Terry
Canary Club,2007,Mana Ogawa
Canary Club,2007,Erina Hashiguchi
Canary Club,2007,Ikuko Ōura
Bump of Chicken,1994,Motoo Fujiwara
Bump of Chicken,1994,Hiroaki Masukawa
Sixpence None the Richer,1992,Leigh Nash
Prussian Blue,2003,Lamb Lennon Gaede
Prussian Blue,2003,Lynx Vaughan Gaede
The Donnas,1993,Brett Anderson
The Donnas,1993,Torry Castellano
Danity Kane,2005,Dawn Richard
The Donnas,1993,Allison Robertson
The Donnas,1993,Maya Ford
Elastica,1992,Justine Frischmann
Queen & Elizabeth,2010,Tomomi Itano
Queen & Elizabeth,2010,Tomomi Kasai
Marlene Kuntz,1989,Cristiano Godano
Outlawz,1995,Napoleon
Outlawz,1995,Kastro
Outlawz,1995,Mopreme Shakur
Outlawz,1995,Big Syke
Canary Club,2007,Mikiho Niwa
The Drifters,1953,Clyde McPhatter
Outlawz,1995,Young Noble
Outlawz,1995,E.D.I. Mean
Canary Club,2007,Chihira Mochida
Mogwai,1995,Stuart Braithwaite
Midnight Star,1976,Calloway
ELO Part II,1989,Bev Bevan
Main Source,1989,Large Professor
The Bodysnatchers,1979,Rhoda Dakar
Tenpole Tudor,1977,Edward Tudor-Pole
The Jelly Jam,2002,Rod Morgenstein
The Wallflowers,1989,Fred Eltringham
Nochniye Snaiperi,1993,Q4144021
Nochniye Snaiperi,1993,Svetlana Surganova
Sexart,1991,Jonathan Davis
Holy Moses,1980,Sabina Classen
Nochniye Snaiperi,1993,Diana Arbenina
Metric,1998,Emily Haines
Teen Angels,2007,Gastón Dalmau
Love and Rockets,1985,Daniel Ash
M.O.D.,1986,Billy Milano
Love and Rockets,1985,Kevin Haskins
Kino,1981,Viktor Tsoi
Era,1998,Eric Lévi
Abcho,2012,Rika Ishikawa
Love and Rockets,1985,David J
Expensive Taste,2005,Paul Wall
Silent Circle,1985,Martin Tychsen
Viking Crown,1994,Phil Anselmo
Circle II Circle,2001,Zachary Stevens
Jimmy Eat World,1993,Jim Adkins
Orishas,1999,Roldán
Yeah Yeah Yeahs,2000,Nick Zinner
Yeah Yeah Yeahs,2000,Brian Chase
Pink Cream 69,1987,Kosta Zafiriou
Yeah Yeah Yeahs,2000,Karen Lee Orzolek
Symphony X,1994,Tom Walling
Vikingarna,1958,Christer Sjögren
Sister Sledge,1972,Kathy Sledge
Chatmonchy,2000,Eriko Hashimoto
Chatmonchy,2000,Akiko Fukuoka
L.A.P.D.,1989,James Shaffer
Charming Hostess,1999,Jewlia Eisenberg
Chatmonchy,2000,Kumiko Takahashi
Tetra-Fang,2008,Kōji Seto
Charon,1992,Lauri Tuohimaa
Chevelle,1995,Pete Loeffler
Charlie Brown Jr.,1992,Chorão
Charon,1992,Antti Karihtala
Charon,1992,Jasse Hast
Charon,1992,Juha-Pekka Leppäluoto
Chastain,1984,Leather Leone
Charon,1992,Teemu Hautamäki
Charon,1992,Pasi Sipilä
Return to Forever,1972,Chick Corea
Showtek,2001,Wouter Janssen
Showtek,2001,Sjoerd Janssen
Renaissance,1969,Annie Haslam
The Replacements,1979,Paul Westerberg
Charlie,1971,Terry Thomas
British Sea Power,2000,Abi Fry
Broken Bells,2009,James Mercer
Premiata Forneria Marconi,1970,Gianluca Tagliavini
Premiata Forneria Marconi,1970,Walter Calloni
Premiata Forneria Marconi,1970,Greg Bloch
The Murder City Devils,1996,Spencer Moody
DAM,1999,Tamer Nafar
Premiata Forneria Marconi,1970,Stefano Tavernese
Pavement,1989,Stephen Malkmus
The Orb,1988,Jimmy Cauty
The Murmurs,1991,Leisha Hailey
Premiata Forneria Marconi,1970,Giorgio Piazza
Premiata Forneria Marconi,1970,Marco Sfogli
Premiata Forneria Marconi,1970,Alberto Bravin
Premiata Forneria Marconi,1970,Alessandro Scaglione
Scandal,2006,wilder jax
Premiata Forneria Marconi,1970,Lucio Fabbri
Premiata Forneria Marconi,1970,Phil Drummy
Premiata Forneria Marconi,1970,Piero Monterisi
Cameo,1974,Larry Blackmon
Firewind,1998,Gus G.
Broilers,1992,Sammy Amara
Moriarty,1995,Rosemary Standley
Oh Laura,2004,Frida Öhrn
Sargeist,1999,Shatraug
Broadcast,1995,Trish Keenan
Flogging Molly,1997,Dave King
Oblivion Dust,1996,K.A.Z
Madredeus,1985,Rodrigo Leão
Rata Blanca,1986,Adrián Barilari
Madredeus,1985,Pedro Ayres Magalhães
Madredeus,1985,José Peixoto
The Orlons,1960,Rosetta Hightower
Madredeus,1985,Francisco Ribeiro
Banghra,2007,Javi Mota
Burning Rain,1998,Doug Aldrich
D.O.A.,1978,Joe Keithley
Brinsley Schwarz,1969,Nick Lowe
British Sea Power,2000,Eamon Hamilton
Scandal,2006,Rina Suzuki
Scandal,2006,Haruna Ono
