band,inception,musician
The Beach Boys,1961,David Marks
Europe,1979,Joey Tempest
Europe,1979,Tony Reno
Maroon 5,1994,Mickey Madden
Europe,1979,Ian Haugland
The Beach Boys,1961,Ed Carter
Tool,1990,Paul D'Amour
Zed,1998,Nathan King
The Beach Boys,1961,Blondie Chaplin
Maroon 5,1994,Matt Flynn
Europe,1979,Kee Marcello
The Beach Boys,1961,Al Jardine
Yes,1968,Jon Anderson
Yes,1968,Chris Squire
Yes,1968,Rick Wakeman
Yes,1968,Steve Howe
Yes,1968,Bill Bruford
Elonkerjuu,1995,Lauri Tähkä
Tool,1990,Maynard James Keenan
Tool,1990,Adam Jones
Order of Ennead,2007,Steve Asheim
Tool,1990,Justin Chancellor
Europe,1979,John Norum
Europe,1979,Mic Michaeli
Tool,1990,Danny Carey
Skinny Puppy,1982,Nivek Ogre
Taylor Hawkins and the Coattail Riders,2004,Taylor Hawkins
Eternal Tears of Sorrow,1994,Janne Tolsa
For My Pain...,1999,Tuomas Holopainen
The Crazy World of Arthur Brown,1967,Arthur Brown
Player,1976,Peter Beckett
For My Pain...,1999,Lauri Tuohimaa
NEWS,2003,Hiroki Uchi
NEWS,2003,Takahiro Moriuchi
NEWS,2003,Shigeaki Kaō
For My Pain...,1999,Juha Kylmänen
NEWS,2003,Tomohisa Yamashita
NEWS,2003,Takahisa Masuda
NEWS,2003,Hironori Kusano
Chicago,1967,Terry Kath
NEWS,2003,Keiichiro Koyama
NEWS,2003,Ryo Nishikido
NEWS,2003,Yuya Tegoshi
Dawes,2009,Taylor Goldsmith
Eternal Tears of Sorrow,1994,Antti Kokko
For My Pain...,1999,Altti Veteläinen
Eternal Tears of Sorrow,1994,Altti Veteläinen
The Black Crowes,1989,Chris Robinson
No Use for a Name,1987,Matt Riddle
Hijokaidan,1979,Fumio Kosakai
Hijokaidan,1979,Junko
Hijokaidan,1979,Jojo Hiroshige
Lard,1988,Jello Biafra
GNR,1981,Rui Reininho
Hijokaidan,1979,Futoshi Okano
Gravediggaz,1993,RZA
Hijokaidan,1979,Toshiji Mikawa
No Use for a Name,1987,Chris Shiflett
American Hi-Fi,1998,Stacy Jones
Walk Off The Earth,2006,Sarah Blackwood
Paths of Possession,1999,George Fisher
No Use for a Name,1987,Tony Sly
No Use for a Name,1987,Chris Rest
Hijokaidan,1979,Naoki Zushi
Lambchop,1986,Nightcrawler
Les Prêtres,2011,Jean-Michel Bardet
The Dears,1995,Murray Lightburn
IQ,1981,Martin Orford
Gumball,1990,Don Fleming
Skinny Puppy,1982,cEvin Key
Cynic,1987,Jack Kelly
Merzbow,1979,Masami Akita
Far,1991,Jonah Matranga
Kettcar,2001,Marcus Wiebusch
Amberian Dawn,2006,Capri Virkkunen
Merzbow,1979,Reiko Azuma
The Bear Quartet,1989,Mattias Alkberg
Amaranthe,2009,Olof Mörck
Amaranthe,2009,Jake E
Amazulu,1982,Margo Sagov
Amberian Dawn,2006,Tuomas Seppälä
Amazulu,1982,Anne-Marie Ruddock
Klee,2002,Suzie Kerstgens
Amaranthe,2009,Andy Solveström
Liaisons Dangereuses,1981,Beate Bartel
Amaranthe,2009,Elize Ryd
Amaranthe,2009,Morten Løwe Sørensen
Ambrosia,1970,Joe Puerta
Almanac Singers,1940,Woody Guthrie
Amaral,1992,Juan Aguirre
Amber Smith,2000,Oszkár Ács
