person,spouse
David Byrne,Adelle Lutz
Bradley Whitford,Jane Kaczmarek
Bruce Davison,Lisa Pelikan
Mitch McConnell,Elaine Chao
Nick Lachey,Vanessa Minnillo
Mitch McConnell,Sherrill Redmon
Adele Astaire,Lord Charles Arthur Francis Cavendish
Lee de Forest,Lucille Sheardown
Ray Brown,Ella Fitzgerald
Lee de Forest,Nora Stanton Blatch Barney
Adelbert Ames,Blanche Butler Ames
Adele Jergens,Glenn Langan
William Wallace Campbell,Elizabeth Ballard Campbell
Adele Astaire,Kingman Douglass
Randy Couture,Kim Couture
Thomas Vonn,Lindsey Vonn
Kirk Kerkorian,Lisa Bonder
Fred MacMurray,June Haver
Derek Jeter,Hannah Davis
Dave Navarro,Carmen Electra
Tracy Hickman,Laura Hickman
Richard Schiff,Sheila Kelley
Adele Mara,Roy Huggins
Berry Gordy,Diana Ross
Jack Welch,Suzy Welch
Mark Feldman,Sylvie Courvoisier
Steven Van Zandt,Maureen Van Zandt
Berry Gordy,Ray Singleton
Tom Hayden,Barbara Williams
Erick Hawkins,Martha Graham
Tom Arnold,Roseanne Barr
Peter Jennings,Kati Marton
Bruce Boxleitner,Melissa Gilbert
Tom Vilsack,Christie Vilsack
Eddie Cibrian,LeAnn Rimes
Armin Shimerman,Kitty Swink
Stephen Stills,Véronique Sanson
Eddie Cibrian,Brandi Glanville
Peter Jennings,Kayce Freed
Gary Dourdan,Roshumba Williams
Jamie Bamber,Kerry Norton
Jeff Jarrett,Karen Jarrett
Carmine Giovinazzo,Vanessa Marcil
Robert Albert Bloch,Elly Bloch
Tom Hayden,Jane Fonda
Roger Sherman,Rebecca Minot Prescott
Dwight Schultz,Wendy Fulton
Stephen Stills,Kristen Stills
Richard Petty,Lynda Petty
Robert Stack,Rosemarie Bowe
Roger Sherman,Elizabeth Hartwell
Amiri Baraka,Hettie Jones
Tim McGraw,Faith Hill
Will Arnett,Amy Poehler
Will Arnett,Penelope Ann Miller
Edward R. Murrow,Janet Huntington Brewster
Bruce Davison,Jess Walton
Jacob Lawrence,Gwendolyn Knight
David Dudley Field II,Lucinda Hopkins Field
Lee de Forest,Marie Mosquini
David Eddings,Leigh Eddings
Alexandra Silk,Luc Wylder
Laura Spelman Rockefeller,John D. Rockefeller
Karen Morley,Charles Vidor
Brooke Astor,Vincent Astor
LaTanya Richardson,Samuel L. Jackson
Margot Stevenson,Val Avery
Christine Ebersole,Peter Bergman
Helen Merrill,Torrie Zito
Victoria Osteen,Joel Osteen
Frances Fuller,Worthington Miner
Frances Reid,Philip Bourneuf
Kathryn Erbe,Terry Kinney
Karen Morley,Lloyd Gough
Brooke Astor,John Dryden Kuser
Christina Hoff Sommers,Frederic Tamler Sommers
Helen Merrill,Aaron Sachs
Eileen Ryan,Leo Penn
Terri Conn,Austin Peck
Carolee Carmello,Gregg Edelman
Shannon Brown,Monica
Ryan Adams,Leona Naess
George Lincoln Rockwell,Margrét Þóra Hallgrímsson
Neva Patterson,James Lee
Sarah Butler,Prince Zeid bin Ra'ad
Hallie Todd,Glenn Withrow
Toshiko Akiyoshi,Charlie Mariano
Angie Everhart,Ashley Hamilton
Samuel R. Delany,Marilyn Hacker
Mary Boykin Chesnut,James Chesnut Jr.
Donna Murphy,Shawn Elliott
Brooke Burke Charvet,David Charvet
Jonathan Lethem,Shelley Jackson
William Sprague,Kate Chase
Anita Louise,Buddy Adler
Brooke Burke Charvet,Garth Fisher
Irving Thalberg,Norma Shearer
Texas Jack Omohundro,Giuseppina Morlacchi
Wayne Static,Tera Wray
Julie Condra,Mark Dacascos
Beatrix Farrand,Max Farrand
Phyllis Avery,Don Taylor
Robert F. Wagner,Phyllis Fraser
Jeane Manson,Robert Viharo
Niki Tsongas,Paul Tsongas
Shelley Jackson,Jonathan Lethem
Jemaine Clement,Miranda Manasiadis
Loudon Wainwright III,Suzzy Roche
Jeane Manson,Bernard Giroux
Alex Bogomolov,Ashley Harkleroad
Matthew Emmons,Kateřina Emmons
Heather Wahlquist,Nick Cassavetes
Jill Schoelen,Anthony Marinelli
Pia Zadora,Jonathan Kaufer
Dale Evans,Roy Rogers
Julie Condra,Brandon Douglas
Amy Sherman-Palladino,Daniel Palladino
Jeane Manson,André Djaoui
Kaitlyn Ashley,Jay Ashley
Loudon Wainwright III,Kate McGarrigle
Patricia Breslin,Art Modell
Ruth Laredo,Jaime Laredo
Tina Weymouth,Chris Frantz
Jeane Manson,Allain Bougrain-Dubourg
Pia Zadora,Meshulam Riklis
Patrick Macnee,Katherine Woodville
Henry Lewis Mencken,Sara Haardt
Cornelia Cole Fairbanks,Charles W. Fairbanks
Jane Hadley Barkley,Alben W. Barkley
Estelle Taylor,Jack Dempsey
Maddie Corman,Jace Alexander
Harvey Pekar,Joyce Brabner
Tamar Estine Braxton,Vincent Herbert
Joan Bennett Kennedy,Ted Kennedy
Hedda Sterne,Saul Steinberg
Clare Grant,Seth Green
Shari Lewis,Jeremy Tarcher
Anna Zatonskih,Daniel Fridman
Michael Wolff,Polly Draper
Joel McCrea,Frances Dee
Natasha Kaiser-Brown,Brian Brown
Debra Feuer,Mickey Rourke
Yuan Chang,Patrick S. Moore
Nancy Lopez,Ray Knight
Barbara Rush,Warren Cowan
Elizabeth Berridge,Kevin Corrigan
Joshua Harto,Liz W. Garcia
Ann Shoemaker,Henry Stephenson
A. C. Crispin,Michael Capobianco
Stephanie Romanov,Nick Wechsler
Sue Lyon,Hampton Fancher
Jessica Hecht,Adam Bernstein
Paul Waaktaar-Savoy,Lauren Savoy
Alice Pike Barney,Albert Clifford Barney
Christine Ladd-Franklin,Fabian Franklin
Sylvia Earle,Graham Hawkes
Jennifer Rodriguez,KC Boutiette
Horace Greeley,Mary Cheney Greeley
LisaGay Hamilton,Robin Kelley
Barbara Rush,Jeffrey Hunter
John Aniston,Nancy Dow
Arlene Dahl,Alexis Lichine
Arlene Dahl,Fernando Lamas
Colleen Moore,John McCormick
Ina Claire,John Gilbert
Florence Vidor,King Vidor
John Derek,Ursula Andress
Alvin Sargent,Laura Ziskin
Gayle Hunnicutt,David Hemmings
Laura Lippman,David Simon
Cindy Blackman,Carlos Santana
John Derek,Pati Behrs
Arlene Dahl,Lex Barker
Mika Brzezinski,Joe Scarborough
John Derek,Linda Evans
Elizabeth Gracen,Brendan Hughes
Sean Patrick Flanery,Lauren Michelle Hill
Eleanor Boardman,Harry d’Abbadie d’Arrast
Lorna Luft,Jake Hooker
Dabney Coleman,Jean Hale
Jayne Brook,John Terlesky
Nancy Kwan,David Giler
Glenne Headly,John Malkovich
Gayle Hunnicutt,Simon Jenkins
Ann Dvorak,Leslie Fenton
Eleanor Boardman,King Vidor
Blanche Yurka,Ian Keith
Kevin Nealon,Susan Yeagley
Alison Eastwood,Stacy Poitras
John Derek,Bo Derek
Alva Belmont,William Kissam Vanderbilt I
Dina Babbitt,Art Babbitt
Jocelyn Brando,Eliot Asinof
Kristin Dattilo,Jason Keller
Mary Ellen Mark,Martin Bell
María Rosa Lida de Malkiel,Yakov Malkiel
Debbi Morgan,Charles S. Dutton
Matt Czuchry,Kate Bosworth
Mary Ford,Les Paul
Kurupt,Natina Reed
Gloria DeHaven,John Payne
Patricia Morrison,David Vanian
Donald Fisher,Doris F. Fisher
Tina Brown,Harold Evans
Jeanne Cooper,Harry Bernsen Jr.
Michael Learned,Peter Donat
James Russell Lowell,Maria White Lowell
Dominick Dunne,Ellen Griffin Dunne
Nicole Sheridan,Voodoo
Nancy Kovack,Zubin Mehta
Alva Belmont,Oliver Belmont
Jenny O'Hara,Nick Ullett
Alvin Lucier,Mary Lucier
Vanessa Rousso,Chad Brown
Lin Shaye,Clayton Landey
Billy Rose,Fanny Brice
Billy Rose,Eleanor Holm
Billy Drago,Silvana Gallardo
Julie Mehretu,Jessica Rankin
Gwen Bristow,Bruce Manning
Miriam A. Ferguson,James E. Ferguson
Janis Paige,Ray Gilbert
Alwin Nikolais,Murray Louis
Gloria DeHaven,Martin Kimmel
Anne Brown,Thorleif Schjelderup
Princess Anastasia of Greece and Denmark,Prince Christopher of Greece and Denmark
Alice Terry,Rex Ingram
Gloria Leonard,Bobby Hollander
Nora Marks Dauenhauer,Richard Dauenhauer
Viola Dana,John H. Collins
Carolyn Bessette-Kennedy,John F. Kennedy Jr.
Sydne Rome,Emilio Lari
Schelte J. Bus,Ellen Suzanne Howell
Viola Dana,Jimmy Thomson
Florence Lee,Dell Henderson
Harold Arlen,Anya Taranda
Elaine de Kooning,Willem de Kooning
Florence Vidor,Jascha Heifetz
Linden Ashby,Susan Walters
Leigh Taylor-Young,Craig Sheffer
Mimi Fariña,Richard Fariña
Jeremy Sisto,Marisa Ryan
Binnie Barnes,M. J. Frankovich
Merian C. Cooper,Dorothy Jordan
Pamela Tiffin,Clay Felker
Florence Eldridge,Fredric March
Viola Dana,Maurice Bennett Flynn
Elisabeth Hasselbeck,Tim Hasselbeck
Theodore Roosevelt Jr.,Eleanor Butler Roosevelt
James G. Blaine,Harriet Stanwood Blaine
Leigh Taylor-Young,Ryan O'Neal
Suzy Parker,Bradford Dillman
Rhoda Scott,Raoul Saint-Yves
Marian Marsh,Cliff Henderson
Leslie Parrish,Ric Marlow
Peggy Ann Garner,Albert Salmi
Joe E. Lewis,Martha Stewart
Leslie Parrish,Richard David Bach
Chelsea Noble,Kirk Cameron
John 5,Aria Giovanni
Maureen Van Zandt,Steven Van Zandt
Harry Joe Brown,Sally Eilers
Robert Cummings,Vivi Janiss
Barnett Newman,Annalee Newman
Carter Burwell,Christine Sciulli
Jackie Cooper,Hildy Parks
Richard LeParmentier,Sarah Douglas
Richard Florida,Rana Florida
Andrei Linde,Renata Kallosh
Fred Stone,Allene Crater
David Hyde Pierce,Brian Hargrove
Corky Hale,Mike Stoller
Dick Cavett,Martha Rogers
Chris Hughes,Sean Eldridge
Cyril M. Kornbluth,Mary Kornbluth
Billy Sunday,Helen Thompson Sunday
T. Boone Pickens,Madeleine A. Pickens
William Wallace Barron,Opal Wilcox Barron
John Connor,Kate Brewster
Charlie Crist,Carole Crist
Scooter Libby,Harriet Grant
Jonathan Nolan,Lisa Joy
Charlie Day,Mary Elizabeth Ellis
Cynthia Ann Parker,Peta Nocona
John R. Ramsey,Alice Huyler Ramsey
Diane Meyer Simon,Herbert Simon
Dick Cavett,Carrie Nye
Eugene McCarthy,Abigail McCarthy
Derek Trucks,Susan Tedeschi
John Davis Lodge,Francesca Braggiotti
Ryan Anderson,Kari Klinkenborg
Jason Behr,KaDee Strickland
Nathanael West,Eileen McKenney
Arthur Elgort,Grethe Barrett Holby
Kira Reed,Robert Lorsch
Adolph Ochs,Iphigenia Wise Ochs
Bret Hedican,Kristi Yamaguchi
William Redington Hewlett,Flora Lamson Hewlett
Jerry O'Connell,Rebecca Romijn
John Slattery,Talia Balsam
Harold Nicholas,Dorothy Dandridge
Richard Bache,Sarah Franklin Bache
Arch A. Moore,Shelley Riley Moore
Shawn Elliott,Donna Murphy
Alvin Batiste,Edith Batiste
Tim Russert,Maureen Orth
Gil Scott-Heron,Brenda Sykes
Adrian Lamo,Lauren Fisher
Alfred Newman,Martha Montgomery
Nathanael Greene,Catherine Littlefield Greene
Kirsten Cohen,Sandy Cohen
Brad Davis,Susan Bluestein
Antonio Sabàto Jr.,Cheryl Moana Marie Nunes
Jerry Weintraub,Jane Morgan
Warren Zevon,Crystal Zevon
John Bailey,Carol Littleton
Arman,Éliane Radigue
Antonio Sabàto Jr.,Tully Jensen
Roy Edward Disney,Patricia Disney
John Rutledge,Elizabeth Grimké Rutledge
Adoniram Judson,Ann Hasseltine Judson
Adoniram Judson,Emily Chubbuck
Corey Feldman,Vanessa Marcil
David Johansen,Cyrinda Foxe
"William F. Buckley, Jr.",Patricia Buckley
Corey Feldman,Susie Feldman
David Brown,Helen Gurley Brown
William Daniels,Bonnie Bartlett
Alexis Denisof,Alyson Hannigan
Bruce Cabot,Adrienne Ames
Kyle Korver,Juliet Richardson
John Harvey Kellogg,Ella Eaton Kellogg
Sergei Fedorov,Anna Kournikova
Amadeus William Grabau,Mary Antin
Boris Vallejo,Julie Bell
Armie Hammer,Timothée Chalamet
James Marshall,Renee Griffin
Betty White,Allen Ludden
Adoniram Judson,Sarah Hall Boardman
Charles H. Joffe,Carol Joffe
Louis Prima,Gia Maione
David Packard,Lucile Salter
Patton Oswalt,Michelle McNamara
John Smith,Luana Patten
John Muir,Louisa Wanda Strentzel
Tracy Nelson,William R. Moses
Walter Gay,Matilda Gay
Patton Oswalt,Meredith Salenger
Robert Culp,France Nuyen
Pam Dawber,Mark Harmon
Shane Brolly,Sarah G. Buxton
Conrad Potter Aiken,Mary Hoover Aiken
Ray Eames,Charles Eames
Martin Bregman,Cornelia Sharpe
Danny Masterson,Bijou Phillips
Glenn Close,David Evans Shaw
Roy Rogers,Dale Evans
Peter Masterson,Carlin Glynn
Charles Shyer,Nancy Meyers
Robert Hass,Brenda Hillman
Philip Abelson,Neva Abelson
Kasi Lemmons,Vondie Curtis-Hall
Coosje van Bruggen,Claes Oldenburg
Didi Conn,David Shire
Alexander Scourby,Lori March
Varina Davis,Jefferson Davis
Ilona Massey,Alan Curtis
Marion Harris,Robert Williams
Lynn Whitfield,Brian Gibson
Ilona Massey,Donald Dawson
Ruby Wax,Ed Bye
Exene Cervenka,Viggo Mortensen
Trish Van Devere,George C. Scott
Jessica Mitford,Robert Treuhaft
Denise Scott Brown,Robert Venturi
Kathleen Beller,Thomas Dolby
Melody Thomas Scott,Edward J. Scott
Franchot Tone,Joan Crawford
Joyce Van Patten,Martin Balsam
Roxanne Hart,Philip Casnoff
Bess Meredyth,Wilfred Lucas
Daisy Donovan,Dan Mazer
Nnenna Freelon,Phil Freelon
Alma Adamkienė,Valdas Adamkus
Franchot Tone,Dolores Dorn
Kirk Acevedo,Kiersten Warren
Sacha Kljestan,Jamie Lee Darley
Lynn Whitfield,Vantile Whitfield
Tichina Arnold,Lamon Brewster
Lois Capps,Walter Capps
John Astin,Patty Duke
Audra Lindley,James Whitmore
Joyce Van Patten,Dennis Dugan
Franchot Tone,Barbara Payton
Danielle Trussoni,Nikolai Grozni
Sarah Knox Taylor,Jefferson Davis
Brian Williams,Jane Gillan Stoddard
Hoagy Carmichael,Wanda McKay
Lauren Anderson,Reid Brignac
Tatiana Riabouchinska,David Lichine
Roxie Roker,Sy Kravitz
Franchot Tone,Jean Wallace
Noah Baumbach,Jennifer Jason Leigh
Alice Neel,Carlos Enríquez Gómez
Camila Alves,Matthew McConaughey
Lindy Boggs,"Thomas Hale Boggs, Sr."
Lenny Bruce,Honey Harlow
Ruth Roland,Ben Bard
Connie Paraskevin,Roger Young
Dedee Pfeiffer,Kevin Ryan
Kate Burton,Michael Ritchie
Chellie Pingree,Donald Sussman
Ruth Ford,Peter van Eyck
Mary Ball Washington,Augustine Washington
Carla Anderson Hills,Roderick M. Hills
Rebecca Lobo,Steve Rushin
Eleanor Holm,Billy Rose
Mary Bono,Sonny Bono
Susan Walters,Linden Ashby
Alexandra Byrne,Simon Shepherd
David Cassidy,Kay Lenz
Wendy Melvoin,Lisa Cholodenko
Dulé Hill,Nicole Lyn
Frank Faylen,Carol Hughes
Ruth Ford,Zachary Scott
Sara Dylan,Bob Dylan
Sheryl Lee Ralph,Vincent Hughes
Holly Cook,Bill Cook
Rufus King,Mary Alsop King
Virginia Valli,Charles Farrell
Virginia Carroll,Ralph Byrd
Lorna Raver,Yuri Rasovsky
Jenni Meno,Todd Sand
Nici Sterling,Wilde Oscar
Trina Robbins,Steve Leialoha
Wendy Finerman,Mark Canton
Henry Lewis,Marilyn Horne
Claire Coffee,Chris Thile
Elinor Wylie,William Rose Benét
Natacha Rambova,Rudolph Valentino
Willie Norwood,Sonja Norwood
Melinda Gebbie,Alan Moore
Anne Jeffreys,Robert Sterling
Eden Riegel,Andrew Miller
Richard Barthelmess,Mary Hay
Jessica Mitford,Esmond Romilly
Sundance Kid,Etta Place
Elyse Knox,Tom Harmon
Nancy Stokey,Robert Lucas
Margaret Chase Smith,Clyde H. Smith
Beverley Owen,Jon Stone
Shirley Mason,Sidney Lanfield
Kathleen Kinmont,Lorenzo Lamas
Kathleen Kinmont,Jere Burns
Henry Adams,Marian Hooper Adams
Bess Meredyth,Michael Curtiz
Claire McDowell,Charles Hill Mailes
Patty Jenkins,Sam Sheridan
Eve Gordon,Todd Waring
Shirley Mason,Bernard Durning
Cathy Downs,Joe Kirkwood Jr.
Helen O'Connell,Frank De Vol
Evelyn Ankers,Richard Denning
Felicia Farr,Jack Lemmon
Finn Carter,Steven Weber
Jamie Babbit,Karey Dornetto
Dolly Haas,Al Hirschfeld
Jill Eikenberry,Michael Tucker
Milton Sills,Doris Kenyon
Diana Barrymore,Robert Wilcox
Lance Bass,Michael Turchin
Robert Goldwater,Louise Bourgeois
Jeanette Nolan,John McIntire
Con Conrad,Francine Larrimore
Leilani Sarelle,Miguel Ferrer
Leah Poulos,Peter Mueller
Louise Erdrich,Michael Dorris
Vincent Kartheiser,Alexis Bledel
Dolly Haas,John Brahm
Marcia Muller,Bill Pronzini
Megan Gallagher,Jeff Yagher
Mary Haas,Morris Swadesh
Elaine Stewart,Merrill Heatter
Priscilla Cooper Tyler,Robert Tyler
Andrea Martin,Bob Dolman
Natalie Talmadge,Buster Keaton
Amy Heckerling,Neal Israel
Patty Smyth,John McEnroe
Donna Jean Godchaux,Keith Godchaux
Elizabeth Bogush,Lukas Reiter
Anne Morrow Lindbergh,Charles Lindbergh
Diana Barrymore,Bramwell Fletcher
Candy Barr,Jack Sahakian
Lew Ayres,Ginger Rogers
Mary Brian,George Tomasini
Julian May,T. E. Dikty
Patricia Richardson,Ray Baker
Patty Smyth,Richard Hell
Isaac Tigrett,Maureen Starkey Tigrett
Robert Staughton Lynd,Helen Lynd
Brian Schweitzer,Nancy Schweitzer
Terri Garber,Frank Howson
Bill Waller,Carroll Waller
Jackie Sandler,Adam Sandler
Jane Rosenthal,Craig Hatkoff
Dave Annable,Odette Annable
Mimsy Farmer,Vincenzo Cerami
Nora Bayes,Harry Clork
Olivia Harrison,George Harrison
Tom Daschle,Laurie S. Fulton
Lydia Maria Child,David Lee Child
Bonnie Bartlett,William Daniels
Deborah Rennard,Paul Haggis
Anna Katharine Green,Charles Rohlfs
Kay Sage,Yves Tanguy
Debrah Farentino,Tony Adams
Debrah Farentino,James Farentino
David Graf,Kathryn Graf
Del Martin,Phyllis Lyon
Amber Stevens,Andrew J. West
Alexandra Breckenridge,Casey Hooper
Minta Durfee,Roscoe Arbuckle
Betsy Drake,Cary Grant
Sigrid Valdis,Bob Crane
Julia Migenes,Peter Medak
Leatrice Joy,John Gilbert
Debbe Dunning,Steve Timmons
Nora Bayes,Jack Norworth
Peggy Noonan,Richard W. Rahn
Constance Zimmer,Steve Johnson
Jennifer Aspen,David O'Donnell
Dan Schneider,Lisa Lillien
Marjorie Main,Stanley LeFevre Krebs
Maybelle Carter,Ezra Carter
Heather Burns,Ajay Naidu
Thaddeus H. Caraway,Hattie Caraway
Bill Demong,Katie Koczynski
Debrah Farentino,Gregory Hoblit
Helen Ferguson,William Russell
Marilyn Quayle,Dan Quayle
Wendy Kilbourne,James Read
Nicola Griffith,Kelley Eskridge
Maria Ewing,Peter Hall
Roberts Blossom,Beverly Schmidt Blossom
Liz Torres,Peter Locke
Kay Sage,Ranieri Bourbon del Monte Santa Maria
Kristina Keneally,Ben Keneally
Barbara Loden,Elia Kazan
Gillian Murphy,Ethan Stiefel
Catherine Scorsese,Charles Scorsese
Anna Hyatt Huntington,Archer Milton Huntington
Alexandra Holden,Johnny Strong
Marilyn Bergman,Alan Bergman
Mary Roach,Ed Rachles
Joanna Going,Dylan Walsh
Doris Kearns Goodwin,Richard N. Goodwin
Carol Alt,Ron Greschner
Alley Mills,Orson Bean
Isamu Noguchi,Yoshiko Yamaguchi
Daniel Gibson,Keyshia Cole
Grace Hightower,Robert De Niro
Mo Collins,Alex Skuby
Brenda Marshall,Richard Gaines
Maeve Quinlan,Tom Sizemore
Felix Pappalardi,Gail Collins Pappalardi
Dorothy Fay,Tex Ritter
Monta Bell,Betty Lawford
Stacey Kent,Jim Tomlinson
Ruth Mack Brunswick,Mark Brunswick
Agnes Salm-Salm,Felix Salm-Salm
Bobby Cannavale,Jenny Lumet
Ellen Kushner,Delia Sherman
Mary Costa,Frank Tashlin
Inés Mendoza,Luis Muñoz Marín
Neal Schon,Michaele Salahi
Andy Biersack,Juliet Simms
Olive Thomas,Jack Pickford
Brenda Marshall,William Holden
Menachem Mendel Schneerson,Chaya Mushka Schneerson
Rose Friedman,Milton Friedman
Andrew G. Vajna,Tímea Vajna
Oden Bowie,Alice Carter
Robert ParkeHarrison,Shana ParkeHarrison
Patricia Kennedy Lawford,Peter Lawford
Ajay Naidu,Heather Burns
Marc Connelly,Madeline Hurlock
Ruffin Pleasant,Anne Ector Pleasant
Chuck Lorre,Karen Witter
Dave Franco,Alison Brie
Ted Danson,Randy Danson
Richard Gilmore,Emily Gilmore
Meredith Grey,Derek Shepherd
Ted Danson,Mary Steenburgen
Taylor Hayes,Seymore Butts
Charles Seymour Whitman,Olive Hitchcock Whitman
Akiva Goldsman,Rebecca Spikings-Goldsman
Hazel Scott,"Adam Clayton Powell, Jr."
Thomas Green Clemson,Anna Maria Calhoun Clemson
Rod Lurie,Kyra Davis
Lucy Page Mercer Rutherfurd,Winthrop Rutherfurd
Louis Fieser,Mary Peters Fieser
Hume Cronyn,Susan Cooper
Billy Warlock,Julie Pinson
Brenda Chapman,Kevin Lima
Agnes E. Meyer,Eugene Meyer
Stephanie March,Bobby Flay
Melissa Joan Hart,Mark Wilkerson
Joan Mondale,Walter Mondale
Gail Zappa,Frank Zappa
Hal Moore,Julia Compton Moore
Daniel Ellsberg,Patricia Marx Ellsberg
Amy Spanger,Michael C. Hall
Edward Buzzell,Ona Munson
Natasha Shneider,Alain Johannes
Charles Cotesworth Pinckney,Sarah Middleton Pinckney
William Zorach,Marguerite Zorach
William A. Gamson,Zelda F. Gamson
Hume Cronyn,Jessica Tandy
Daniel Baldwin,Isabella Hofmann
Brady Quinn,Alicia Sacramone
Billy Warlock,Marcy Walker
Melania Trump,Donald Trump
Akiva Schaffer,Liz Cackowski
Ailsa Mellon Bruce,David K. E. Bruce
Bart Conner,Nadia Comăneci
John Jacob Astor IV,Ava Lowle Willing
Gene Tunney,Polly Lauder Tunney
Jennifer Siebel,Gavin Newsom
Swin Cash,Steve Canal
Phoebe Ephron,Henry Ephron
Nick Cassavetes,Heather Wahlquist
Ethan Embry,Sunny Mabrey
Leland Stanford,Jane Stanford
Susan Downey,"Robert Downey, Jr."
Jack Nance,Catherine E. Coulson
Bunny Luv,D. Cypher
Saul Steinberg,Hedda Sterne
Sydnee Steele,Michael Raven
Marian Seldes,Garson Kanin
Pamela Bach,David Hasselhoff
Maria Cole,Nat King Cole
Charles Brabin,Theda Bara
La Monte Young,Marian Zazeela
Haleh Esfandiari,Shaul Bakhash
Lilla Cabot Perry,Thomas Sergeant Perry
Samuel Smith,Margaret Spear Smith
Tim Reid,Daphne Maxwell Reid
Jerry Orbach,Elaine Cancilla Orbach
John Jacob Astor IV,Madeleine Astor
Ahmet Zappa,Selma Blair
Randy Spears,Demi Delia
Marian Seldes,Julian Claman
Jack Nance,Kelly Jean Van Dyke
Kelli McCarty,Matt Dearborn
H. A. Rey,Margret Rey
Aidan Quinn,Elizabeth Bracco
Sherrod Brown,Connie Schultz
Marc Blucas,Ryan Haddon
John Hickenlooper,Helen Thorpe
Elizabeth Robins Pennell,Joseph Pennell
Mary Ellen Rudin,Walter Rudin
Marjorie Merriweather Post,Joseph E. Davies
Luana Patten,John Smith
Vic Morrow,Barbara Turner
Fan Chung,Ronald Graham
Lucy Stone,Henry Browne Blackwell
Henry Lee III,Matilda Lee
Oliver Wolcott,Elizabeth Stoughton Wolcott
Chita Rivera,Tony Mordente
Donna Dixon,Dan Aykroyd
Noureen DeWulf,Ryan Miller
Katharine Towne,Charlie Hunnam
Emma Lehmer,Derrick Henry Lehmer
Audrey Emery,Dimitri Jorjadze
John Negroponte,Diana Villiers Negroponte
Bonita Friedericy,John Billingsley
Chuck Close,Sienna Shields
Theoni V. Aldredge,Tom Aldredge
Nicholas Pileggi,Nora Ephron
Brandy Ledford,Martin Cummins
