person,spouse
Larry David,Laurie David
Mike Pence,Karen Pence
George H. W. Bush,Barbara Bush
John Layfield,Meredith Whitney
Triple H,Stephanie McMahon
Salman Rushdie,Marianne Wiggins
Georgia O'Keeffe,Alfred Stieglitz
JJ Cale,Christine Lakeland
Bijou Phillips,Danny Masterson
Stone Cold Steve Austin,Debra Marshall
Stone Cold Steve Austin,Jeannie Clark
Man Ray,Juliet Man Ray
Dan Shechtman,Tzipora Shechtman
Glenn Seaborg,Helen L. Seaborg
O. J. Simpson,Nicole Brown Simpson
Michael Hastings,Elise Jordan
Stanley Donen,Marion Marshall
Sean Penn,Madonna
Sean Penn,Robin Wright
Richard Gere,Alejandra Silva
Stanley Donen,Yvette Mimieux
Stanley Donen,Jeanne Coyne
Louis Farrakhan,Khadijah Farrakhan
Dan Shechtman,Zipora Shechtman
Lincoln Chafee,Stephanie Chafee
Richard Gere,Carey Lowell
Silvana Gallardo,Billy Drago
Christian Bale,Sandra Blažić
Milton Friedman,Rose Friedman
Ben Stiller,Christine Taylor
Patrick Swayze,Lisa Niemi
Walter Mondale,Joan Mondale
Eddie Guerrero,Vickie Guerrero
Dan Castellaneta,Deb Lacusta
Melissa Benoist,Chris Wood
Jessica Alba,Cash Garner Warren
Wyatt Earp,Mattie Blaylock
Joseph Smith,Emma Smith
Joseph Smith,Helen Mar Kimball
Eric Clapton,Melia McEnery
John Debney,Lola Debney
Linus Pauling,Ava Helen Pauling
Jack London,Charmian London
Dick Cheney,Lynne Cheney
Eric Clapton,Pattie Boyd
Kurt Vonnegut,Jill Krementz
Czesław Miłosz,Janina Milosz
Lee Harvey Oswald,Marina Oswald Porter
Randy Brecker,Eliane Elias
The Undertaker,Michelle McCool
Czesław Miłosz,Carol Thigpen-Miłosz
Ralph Waldo Emerson,Lidian Jackson Emerson
Hedy Lamarr,John Loder
Seth Bullock,Martha Bullock
Joseph Smith,Eliza Maria Partridge Lyman
Edge,Beth Phoenix
Brian Benben,Madeleine Stowe
Dan Quayle,Marilyn Quayle
The Miz,Maryse Ouellet
John Legend,Chrissy Teigen
Joseph Smith,Eliza Roxcy Snow
Robert Rodriguez,Elizabeth Avellán
Doc Holliday,Big Nose Kate
Wyatt Earp,Josephine Earp
Benjamin Thompson,Marie-Anne Pierrette Paulze
Cameron Diaz,Benji Madden
Hedy Lamarr,Friedrich Mandl
Margaret Dreier Robins,Raymond Robins
Warren Buffett,Susan Buffett
Erin Way,Chris Conner
Caleb Deschanel,Mary Jo Deschanel
Hulk Hogan,Linda Hogan
Suzanne Bonamici,Michael H. Simon
Joseph Smith,Zina D. H. Young
Hedy Lamarr,Teddy Stauffer
Salman Rushdie,Padma Lakshmi
Whoopi Goldberg,Alvin Martin
Vince McMahon,Linda McMahon
Gerry Goffin,Carole King
Sally Ride,Steven Hawley
Olga Fikotová,Hal Connolly
Booker T,Sharmell Sullivan-Huffman
Hedy Lamarr,Gene Markey
Ralph Waldo Emerson,Ellen louisa tucker
Whoopi Goldberg,David Claessen
Georg Kreisler,Topsy Küppers
Whoopi Goldberg,Lyle Trachtenberg
Drew Gilpin Faust,Charles E. Rosenberg
Erich Maria Remarque,Paulette Goddard
"Alfred A. Knopf, Sr.",Blanche Knopf
Billie Jean King,Larry King
William Friedkin,Jennifer Nairn-Smith
Dina Merrill,"Stanley Maddox Rumbough, Jr."
Josephine Hull,Shelley Hull
Heinrich Schliemann,Sophia Schliemann
Andy Roddick,Brooklyn Decker
William Friedkin,Kelly Lange
Helen Wills,Aidan Roark
Helen Wills,"Frederick Moody, Jr."
Howard Hawks,Athole Shearer
Bob Bryan,Michelle Bryan
Dina Merrill,Ted Hartley
James Franck,Hertha Sponer
Eleanor F. Helin,Ronald Helin
Howard Hawks,Dee Hartford
Howard Hawks,Slim Keith
Dina Merrill,Cliff Robertson
Carol Shaw,Ralph Merkle
John Huston,Evelyn Keyes
Carole Caldwell Graebner,Clark Graebner
George Roy Hill,Louisa Horton Hill
Erik Erikson,Joan Erikson
Karl August Wittfogel,Esther Schiff Goldfrank
Marcel Breuer,Marta Breuer
Paige Matthews,Henry Mitchell
Jimmy Miller,Kerri-Anne Kennerley
Cole Turner,Phoebe Halliwell
Roberta Williams,Ken Williams
John Huston,Enrica Soma
Diane Kruger,Guillaume Canet
Randy Savage,Miss Elizabeth
Heidi Klum,Seal
Liam Neeson,Natasha Richardson
Tommy Haas,Sara Foster
Maureen Connolly,Norman E. Brinker
Heidi Klum,Tom Kaulitz
Arthur Ashe,Jeanne Moutoussamy
Hannah Arendt,Heinrich Blücher
Sherry Turkle,Seymour Papert
May Sutton,Tom Bundy
Kurt Weill,Lotte Lenya
John Landis,Deborah Nadoolman Landis
Pam Shriver,George Lazenby
Robert Redford,Lola Van Wagenen
George Gamow,Barbara Perkins Gamow
Maria Goeppert Mayer,Joseph Edward Mayer
Karl Bühler,Charlotte Bühler
Blake Edwards,Patricia Walker
Courteney Cox,David Arquette
Martina Navratilova,Yulia Lemigova
Ida Rolf,Walter Frederick  Demmerle
Mena Grabowski Trott,Benjamin Trott
Tim Burton,Helena Bonham Carter
Blake Edwards,Julie Andrews
Hannah Arendt,Günther Anders
Meg Whitman,Griffith R. Harsh
Pauline Betz,Bob Addie
Heidi Klum,Ric Pipino
Robert Redford,Sibylle Szaggars
Dylan McDermott,Shiva Rose
Joseph L. Mankiewicz,Rose Stradner
Andrei Konchalovsky,Julia Vysotskaya
Charles Laughton,Elsa Lanchester
William Friedkin,Lesley-Anne Down
Elias Boudinot,Harriet R. Gold Boudinot
William Friedkin,Sherry Lansing
Margaret Osborne duPont,"William du Pont, Jr."
Emil Artin,Natascha Artin Brunswick
Mike Farrell,Judy Farrell
Paul Tillich,Hannah Tillich
Rupert Murdoch,Patricia Booker
Katharine Hepburn,Ludlow Ogden Smith
Tim Burton,Lena Gieseke
Joan Tompkins,Karl Swenson
Mike Farrell,Shelley Fabares
Gloria Grahame,Nicholas Ray
Rupert Murdoch,Wendi Murdoch
Rupert Murdoch,Jerry Hall
Gloria Grahame,Stanley Clements
William Friedkin,Jeanne Moreau
Rupert Murdoch,Anna Murdoch Mann
Francis Ford Coppola,Eleanor Coppola
Spike Lee,Tonya Lewis Lee
Mike Bryan,Lucille Bryan
Stanley Kramer,Karen Sharpe
Henry Kissinger,Ann Fleischer
Ernst Ising,Jane Ising
Henry Kissinger,Nancy Kissinger
George Lopez,Ann Serrano Lopez
Fritz Feld,Virginia Christine
Benjamin Bratt,Talisa Soto
Elia Kazan,Barbara Loden
Clark Gable,Carole Lombard
Gene Kelly,Jeanne Coyne
Klaus Patau,Eeva Therman-Patau
Clark Gable,Josephine Dillon
Elia Kazan,Molly Kazan
Raoul Walsh,Miriam Cooper
Anthony Hopkins,Petronella Barker
Heinrich Blücher,Hannah Arendt
Kip Williams,Famke Janssen
Clark Gable,Sylvia Ashley
John Brahm,Dolly Haas
Spencer Tracy,Louise Tracy
Abraham Jacobi,Mary Corinna Putnam Jacobi
Brigitte Horney,Konstantin Tschet
Stanley Kramer,Marilyn Erskine
Elena Donaldson-Akhmilovskaya,William John Donaldson
Elia Kazan,Frances Kazan
Eugene Meyer,Agnes E. Meyer
Anthony Hopkins,Jennifer Lynton
Kip Williams,Gretchen Mol
Heinz Berggruen,Bettina Moissi
Bette Davis,William Grant Sherry
Anthony Hopkins,Stella Arroyave
Hal Roach,Marguerite Nichols
"Charles Francis Adams, Sr.",Abigail Brown Brooks
Bette Davis,Gary Merrill
Charlotte Bühler,Karl Bühler
Danielle Steel,Thomas Perkins
David O. Selznick,Jennifer Jones
Danielle Steel,Danny Zugelder
Cecil B. DeMille,Constance Adams DeMille
"Barbara ""Bobbi"" Morse",Hawkeye
Peter van Eyck,Ruth Ford
Albert R. Broccoli,Gloria Blondell
John Kasich,Mary Lee Griffith
Bing Crosby,Dixie Lee
Ludwig Bemelmans,Madeleine Bemelmans
Albert R. Broccoli,Dana Broccoli
Danielle Steel,John Traina
Danielle Steel,William George Toth
David Denman,Nikki Boyer
Frédéric Prinz von Anhalt,Zsa Zsa Gabor
Samuel Goldwyn,Frances Howard
John Kasich,Karen Waldbillig Kasich
David Denman,Mercedes Mason
Nathaniel Hawthorne,Sophia Hawthorne
Ralph Macchio,Phyllis Fierro
Bing Crosby,Kathryn Crosby
David O. Selznick,Irene Mayer Selznick
Carl H. Eigenmann,Rosa Smith Eigenmann
John Kasich,Karen Kasich
Gene Kelly,Betsy Blair
Fritz Stern,Elisabeth Sifton
Susan Butcher,David Monson
Shere Hite,Friedrich Höricke
Danielle Steel,Claude-Éric Lazard
Edward Dmytryk,Jean Porter
Paul Bern,Jean Harlow
Alfred Lion,Lorraine Gordon
Jamie Anne Allman,Marshall Allman
Susan Cummings,Keith Larsen
Ginger Rogers,William Marshall
Hansel Mieth,Otto Hagel
Claude Shannon,Betty Shannon
Ginger Rogers,Jack Briggs
Jane Ising,Ernst Ising
Nicholas Negroponte,Deborah Porter
Ginger Rogers,Jacques Bergerac
Miles Davis,Cicely Tyson
Henry Clay Frick,Adelaide Howard Childs Frick
Lenore Blum,Manuel Blum
Michael Laughlin,Leslie Caron
Nick Pippenger,Maria Klawe
Wayne G. Hammond,Christina Scull
Lois Fisher-Ruge,Gerd Ruge
Ginger Rogers,Jack Pepper
Ginger Rogers,Lew Ayres
Miles Davis,Betty Davis
Sidney Altman,Ann M. Altman
Larry Ellison,Melanie Craft
Olivia de Havilland,Marcus Goodrich
Larry Ellison,Barbara Boothe
Errol Flynn,Nora Eddington
Manuel Blum,Lenore Blum
Ernest Borgnine,Ethel Merman
Jeffrey Shallit,Anna Lubiw
John Barrymore,Dolores Costello
John Barrymore,Blanche Oelrichs
Sergey Brin,Anne Wojcicki
John Barrymore,Elaine Barrie
Vicki Baum,Max Prels
Kaaren Verne,Peter Lorre
William Holden,Brenda Marshall
Yiannis N. Moschovakis,Joan Moschovakis
Errol Flynn,Lili Damita
Errol Flynn,Patrice Wymore
Dennis Hopper,Michelle Phillips
Ernest Borgnine,Katy Jurado
"Florenz Ziegfeld, Jr.",Billie Burke
Larry Ellison,Adda Quinn
Sigourney Weaver,Jim Simpson
Maria von Trapp,Georg von Trapp
Ian Murdock,Debra Lynn
Arleen Sorkin,Christopher Lloyd
Hilary Swank,Chad Lowe
John Barrymore,Katherine Corri Harris
