person,child
Superman,Jon Lane Kent
Guy Victor Molinari,Susan Molinari
Karen Horney,Brigitte Horney
Albert R. Broccoli,Michael G. Wilson
Samuel Goldwyn,Samuel Goldwyn Jr.
"Alfred A. Knopf, Sr.","Alfred A. Knopf, Jr."
David Hedison,Alexandra Hedison
Jack Warner,Jack M. Warner
Megan Fox,Noah Shannon Green
Samuel Morse,Leila Morse
Liam Neeson,Daniel Jack Neeson
Liam Neeson,Micheál Richard Antonio Neeson
Courteney Cox,Coco Arquette
Matthew C. Perry,Caroline Slidell Perry Belmont
Matthew C. Perry,Isabella Bolton Perry Tiffany
J. D. Salinger,Matt Salinger
Barbara W. Tuchman,Jessica Mathews
Georg Steindorff,Ulrich Steindorff Carrington
Joe Bataan,Asia Nitollano
Megan Fox,Bodhi Ransom Green
Max Reinhardt,Gottfried Reinhardt
J. D. Salinger,Margaret Salinger
Eli Wallach,Roberta Wallach
Kirk Douglas,Joel Douglas
Henry Clay Frick,Childs Frick
Max Fleischer,Richard Fleischer
Doris Day,Terry Melcher
Kirk Douglas,Eric Douglas
James Horner,Emily Horner
James Horner,Becky Horner
Samuel Adler,Felix Adler
Henry Clay Frick,Martha Howard Frick
Henry Clay Frick,Henry Clay Frick Jr.
Errol Flynn,Sean Flynn
Lauren Bacall,Stephen Humphrey Bogart
Joan Fontaine,Deborah Lesley Dozier
Douglas Fairbanks,Douglas Fairbanks Jr
Craig McCaw,Julia McCaw
Craig McCaw,Reid McCaw
Craig McCaw,Chase McCaw
Lauren Bacall,Sam Robards
Lenore Blum,Avrim Blum
Farrah Fawcett,Redmond O'Neal
Sidney Poitier,Sydney Tamiia Poitier
Mel Brooks,Max Brooks
Jane Wyman,Christine Reagan
Olivia de Havilland,Gisèle Galante
Leon O. Chua,Amy Chua
Bob Rafelson,Peter Rafelson
August Belmont,"August Belmont, Jr."
John Barrymore,John Drew Barrymore
"Florenz Ziegfeld, Jr.",Patricia Ziegfeld Stephenson
John Barrymore,Diana Barrymore
Samuel Hirsch,Emil G. Hirsch
Dennis Hopper,Henry Hopper
Sergey Brin,Chloe Wojin
Dennis Hopper,Ruthanna Hopper
Mervyn LeRoy,Warner LeRoy
Groucho Marx,Miriam Marx
Maria von Trapp,Rosmarie von Trapp
Theodor Hilgard,Julius Erasmus Hilgard
Groucho Marx,Arthur Marx
Mickey Rooney,"Mickey Rooney, Jr."
Charlie Sheen,Lola Rose Sheen
Sergey Brin,Benji Wojin
Maria von Trapp,Johannes von Trapp
Charlie Sheen,Bob Sheen
Hajo Holborn,Hanna Holborn Gray
Charlie Sheen,Cassandra Jade Estevez
Charlie Sheen,Sam J. Sheen
Kurt Russell,Wyatt Russell
Daniel Webster,Fletcher Webster
James Caan,Scott Caan
Jack Lemmon,Chris Lemmon
Mickey Rooney,Tim Rooney
Asaph Hall,Percival Hall
Judea Pearl,Daniel Pearl
Maria von Trapp,Eleonore von Trapp
Buckminster Fuller,Allegra Fuller Snyder
Harold Lloyd,Harold Lloyd Jr.
Charlie Sheen,Max Sheen
Mickey Rooney,Jimmy Rooney
Groucho Marx,Melinda Marx
Gary Cooper,Q15727506
Harold Lloyd,Gloria Lloyd
Kevin Kline,Owen Kline
Kevin Kline,Frankie Cosmos
Paul Lazarsfeld,Robert Lazarsfeld
Norma Shearer,"Irving Thalberg, Jr."
Mickey Rooney,Michael Rooney
Michael Collins,Kate Collins
Sidney Sheldon,Mary Sheldon
Eugene O'Neill,Oona O'Neill
Eli Wallach,Katherine Wallach
Eli Wallach,Peter Wallach
Ron Howard,Paige Howard
Kirk Douglas,Peter Douglas
Ron Howard,Bryce Dallas Howard
Paul Lazarsfeld,Lotte Franziska
Kurt Russell,Boston Russell
Asaph Hall,"Asaph Hall, Jr."
Kirk Douglas,Michael Douglas
Henry Clay Frick,Helen Clay Frick
Mickey Rooney,Jonelle Rooney
Mickey Rooney,Kimmy Rooney
Mickey Rooney,Kerry Rooney
Mickey Rooney,Kyle Rooney
Mickey Rooney,Teddy Rooney
Warren Beatty,Ella Beatty
Warren Beatty,Isabel Beatty
Jane Wyman,Maureen Reagan
Jane Wyman,Michael Reagan
Eugene O'Neill,"Eugene O'Neill, Jr."
Yul Brynner,Victoria Brynner
Jennifer Connelly,Stellan Bettany
Jennifer Connelly,Agnes Bettany
William Powell,William David Powell
Daniel Webster,Julia Webster
Shirley MacLaine,Sachi Parker
F. Scott Fitzgerald,Frances Scott Fitzgerald
Jane Fonda,Mary Williams
Jack Nicholson,Honey Hollman
Stephen King,Joe Hill
Kate Capshaw,Sawyer Spielberg
Thomas Mann,Erika Mann
Johnny Depp,Lily-Rose Depp
LeBron James,Bronny James
Paul Newman,Scott Newman
Kate Capshaw,Jessica Capshaw
Will Smith,Willow Smith
Josh Brolin,Trevor Brolin
Christina Aguilera,Max Bratman
Will Smith,Jaden Smith
Frank Sinatra,Tina Sinatra
Stephen King,Naomi King
Arthur Penn,Matthew Penn
Sylvester Stallone,Scarlet Rose Stallone
Stephen King,Owen King
Sylvester Stallone,Sage Stallone
Thomas Mann,Klaus Mann
Sylvester Stallone,Seargeoh Stallone
Johnny Depp,Jack Depp
George Lucas,Katie Lucas
Jane Fonda,Troy Garity
Jane Fonda,Vanessa Vadim
Paul Newman,Melissa Newman
Paul Newman,Nell Newman
Thomas Mann,Golo Mann
Sylvester Stallone,Sophia Rose Stallone
Sylvester Stallone,Sistine Rose Stallone
Denzel Washington,John David Washington
Frank Sinatra,"Frank Sinatra, Jr."
Kate Capshaw,Sasha Spielberg
Al Pacino,julie marie pacino
LeBron James,Zhuri James
Gilbert Stuart,Jane Stuart
Vladimir Nabokov,Dmitri Nabokov
LeBron James,Bryce Maximus James
Melvin Frank,Elizabeth Frank
Tom Cruise,Suri Cruise
Katherine LaNasa,Henry Hopper
Jane Fonda,Troy O'Donovan Garity
Tom Cruise,Connor Cruise
Tom Cruise,Isabella Jane Cruise
Jackie Chan,Jaycee Chan
Blythe Danner,Gwyneth Paltrow
Eazy-E,Lil Eazy-E
Michael Jordan,Marcus Jordan
Mel Gibson,Milo Gibson
Jackie Chan,Etta Ng
Michael Jordan,Jeffrey Jordan
Michael Jordan,Ysabel Jordan
John Steinbeck,Thomas Steinbeck
Nicole Kidman,Sunday Urban
Nicole Kidman,Connor Cruise
Lillian Moller Gilbreth,"Frank Bunker Gilbreth, Jr."
Ludwig Mies van der Rohe,Georgia van der Rohe
Nicole Kidman,Faith Urban
Mark Zuckerberg,Maxima Zuckerberg
John Steinbeck,John Steinbeck IV
Mila Kunis,Dimitri Portwood Kutcher
Blythe Danner,Jake Paltrow
Mila Kunis,Wyatt Isabelle Kutcher
Michael Jordan,Victoria Jordan
Julia Roberts,Phinnaeus Walter Moder
Muhammad Ali,Maryum Ali
Muhammad Ali,Hana Yasmeen Ali
John Wayne,Michael Wayne
John Wayne,Patrick Wayne
Richard Linklater,Lorelei Linklater
Martin Scorsese,Domenica Cameron-Scorsese
Diana Ross,Evan Ross
Martin Scorsese,Cathy Scorsese
Lillian Moller Gilbreth,Ernestine Gilbreth Carey
Robert De Niro,Aaron De Niro
Robert De Niro,Julian De Niro
Martin Scorsese,Francesca Scorsese
Beyoncé,Blue Ivy Carter
Beyoncé,Rumi Carter
Beyoncé,Sir Carter
John Wayne,Ethan Wayne
Ray Bradbury,Bettina F. Bradbury
Muhammad Ali,Laila Ali
Julia Roberts,Henry Daniel Moder
Jim Carrey,Jane Carrey
Diana Ross,Rhonda Ross Kendrick
Will Smith,Trey Smith
Thomas Mann,Michael Mann
Julia Roberts,Hazel Patricia Moder
Robert De Niro,Drena De Niro
Robert De Niro,Raphael De Niro
Jack Nicholson,Lorraine Nicholson
Thomas Mann,Monika Mann
Diana Ross,Tracee Ellis Ross
Muhammad Ali,Muhammad Ali Jr.
Frank Sinatra,Nancy Sinatra
Robert De Niro,Elliot De Niro
Josh Brolin,Eden Brolin
Thomas Mann,Elisabeth Mann Borgese
George Lucas,Amanda Lucas
Demi Moore,Rumer Willis
Glenn Seaborg,David Seaborg
Justin Timberlake,Silas Randall Timberlake
Wassily Leontief,Svetlana Alpers
Reese Witherspoon,Ava Phillippe
Eddie Murphy,Bella Murphy
Eddie Murphy,Izzy Oona Murphy
Eddie Murphy,Max Charles Murphy
Eddie Murphy,Angel Murphy Brown
Eddie Murphy,Zola Ivy Murphy
Liane Cartman,Eric Cartman
Stanley Donen,Joshua Donen
Benny Goodman,Benji Goodman
Benny Goodman,Rachel Goodman
Louis Farrakhan,Donna Farrakhan Muhammad
Louis Farrakhan,Mustapha Farrakhan
Bijou Phillips,Fianna Frances Masterson
Salman Rushdie,Milan Rushdie
Salman Rushdie,Zafar Rushdie
Milton Friedman,David D. Friedman
Butch van Breda Kolff,Jan van Breda Kolff
Johnny Cash,John Carter Cash
Eddie Guerrero,Raquel Diaz
Johnny Cash,Rosanne Cash
Morgan Freeman,Clanul Alfonso
Johnny Cash,Kathy Cash
Ric Flair,David Flair
Johnny Cash,Cindy Cash
Johnny Cash,Tara Cash
Sean Penn,Hopper Penn
Johnny Cash,Carlene Carter
Ric Flair,Reid Flair
Ric Flair,Charlotte Flair
Johnny Cash,Rosie Nix Adams
Sean Penn,Dylan Penn
Ben Stiller,Ella Stiller
Jessica Alba,Honor Warren
Ben Stiller,Quinn Dempsey Stiller
Henry Morgenthau,Henry Morgenthau
Joseph Smith,David Hyrum Smith
Eric Clapton,Connor
Joseph Smith,Julia Murdock Smith
Jack London,Joan London
Joseph Smith,children of Joseph Smith
Eric Clapton,Conor Clapton
Dustin Hoffman,Jake Hoffman
Ralph Waldo Emerson,Edward Waldo Emerson
Dick Cheney,Mary Cheney
Nicolas Cage,Weston Cage
John Debney,Josh Debney
Kurt Vonnegut,Edith Vonnegut
Kurt Vonnegut,Mark Vonnegut
Dick Cheney,Elizabeth Cheney
Joseph Smith,Alexander Hale Smith
Vince McMahon,Shane McMahon
Czesław Miłosz,Peter Milosz
Jessica Alba,Haven Warren
Jessica Alba,Hayes  Warren
Hulk Hogan,Brooke Hogan
Benjamin Thompson,"Sarah Thompson, Countess Rumford"
Warren Buffett,Susan Alice Buffett
Henry Morgenthau,Helen Morgenthau Fox
Sitting Bull,Crow Foot
Sarah Palin,Bristol Palin
Hulk Hogan,Nick Hogan
Warren Buffett,Peter Buffett
Czesław Miłosz,Anthony Milosz
Caleb Deschanel,Zooey Deschanel
Clint Eastwood,Morgan Eastwood
Whoopi Goldberg,Alex Martin
Randy Brecker,Amanda Brecker
Joseph Smith,Joseph Smith III
Sarah Palin,Piper Palin
Sarah Palin,Track Palin
Demi Moore,Talulah Willis
Warren Buffett,Howard Graham Buffett
Malcolm X,Ilyasah Shabazz
Malcolm X,Malikah Shabazz
Eddie Murphy,Bria Murphy
Clint Eastwood,Kathryn Eastwood
Vince McMahon,Stephanie McMahon
Eddie Murphy,Shayne Murphy
Clint Eastwood,Alison Eastwood
Clint Eastwood,Scott Eastwood
Robert Rodriguez,Racer Rodriguez
Robert Rodriguez,Rogue Rodriguez
Caleb Deschanel,Emily Deschanel
Malcolm X,Qubilah Shabazz
Sarah Palin,Trig Palin
Sarah Palin,Willow Palin
Gerry Goffin,Louise Goffin
Robert Rodriguez,Rocket Rodriguez
Robert Rodriguez,Rhiannon Rodriguez
Clint Eastwood,Francesca Eastwood
Rita Hayworth,Rebecca Welles
Rita Hayworth,Yasmin Aga Khan
Eddie Murphy,Myles Murphy
Clint Eastwood,Kyle Eastwood
Demi Moore,Scout Willis
Hans Albert Einstein,Bernhard Caesar Einstein
Robert A. Millikan,Glenn Allan Millikan
Randall Cunningham,Vashti Cunningham
Lorenzo Lamas,AJ Lamas
Alfred Thayer Mahan,Alfred Thayer Mahan
Janet Jackson,Eissa Al Mana
George A. Hormel,Jay Catherwood Hormel
Robert Hofstadter,Douglas Hofstadter
Zalman King,Chloe King
Lorenzo Lamas,Shayne Lamas
Robert A. Millikan,Max Millikan
Mario Van Peebles,Maya Van Peebles
Adlai Stevenson III,Adlai Stevenson IV
John Sutter,"John Augustus Sutter, Jr."
Hans Albert Einstein,Evelyn Einstein
Robert A. Millikan,Clark Blanchard Millikan
Gene Shalit,Willa Shalit
Sergei Rachmaninoff,Irene Sergievna Rachmaninoff
Randall Cunningham,Randall Cunningham II
Tippi Hedren,Melanie Griffith
Henry M. Morris,John D. Morris
Carlo Tresca,Peter D. Martin
Elizabeth Berkley,Sky Cole
Alexander Emanuel Agassiz,Rodolphe Louis Agassiz
Eddy Duchin,Peter Duchin
Henry Middleton,Sarah Middleton Pinckney
Henry Middleton,Henrietta Middleton Rutledge
Henry Middleton,Susannah Middleton Parker
Joan Bennett,Diana Wanger
Joan Bennett,Melinda Markey
Joan Bennett,Shelley Antonia Wanger
Joan Bennett,Stephanie Wanger
Jack Conway,Pat Conway
Carol Chomsky,Aviva Chomsky
Bobby Bonds,"Bobby Bonds, Jr."
Andrew Ellicott,Andrew Ellicot
Andrew Ellicott,Joseph Ellicot
Andrew Ellicott,Mary Ellicot
Andrew Ellicott,Ann Ellicot
Andrew Ellicott,George Ellicot
Andrew Ellicott,Jane Judith Ellicot
Andrew Ellicott,Letitia Matilda Ellicot
Andrew Ellicott,Nancy Ellicot
Andrew Ellicott,Rachel Ellicot
Andrew Ellicott,Sarah Ellicot
Bobby Bonds,Barry Bonds
Wolfgang Yourgrau,Palle Yourgrau
Martin Buser,Nikolai Buser
Adam Sandler,Sunny Sandler
Elisabeth Kübler-Ross,Ken Ross
Irving Berlin,Mary Ellin Barrett
Martin Buser,Rohn Buser
Oona O'Neill,Geraldine Chaplin
Susan Sarandon,Eva Amurri
Oona O'Neill,Josephine Chaplin
William Plumer,"William Plumer, Jr."
Thomas Gholson,William Y. Gholson
Nat King Cole,Natalie Cole
Thomas Taber II,Stephen Taber
Frank Zappa,Ahmet Zappa
Oona O'Neill,Victoria Chaplin
Oona O'Neill,Christopher Chaplin
Ted Kennedy,Kara Kennedy
John Williams,Joseph Williams
Ted Kennedy,"Edward M. Kennedy, Jr."
Ted Kennedy,Patrick J. Kennedy
Jairus C. Fairchild,Cassius Fairchild
Frank Zappa,Dweezil Zappa
Oona O'Neill,Eugene Chaplin
Oona O'Neill,Michael Chaplin
Sylvia Plath,Nicholas Hughes
Douglas MacArthur,Arthur McArthur IV
Magic Johnson,EJ Johnson
Adam Sandler,Sadie Sandler
Cuba Gooding Jr.,Spencer Gooding
Frank Zappa,Moon Zappa
Sylvia Plath,Frieda Hughes
Louis Agassiz,Alexander Emanuel Agassiz
Oona O'Neill,Jane Chaplin
Frank Zappa,Diva Zappa
Zacharias Dische,Irene Dische
Paula Fox,Linda Carroll
Meyer Guggenheim,Daniel Guggenheim
Meyer Guggenheim,Murray Guggenheim
Michael Keaton,Sean Douglas
Henry Middleton,Thomas Middleton
Uma Thurman,Maya Hawke
Cuba Gooding Jr.,Mason Gooding
Meyer Guggenheim,Benjamin Guggenheim
Meyer Guggenheim,Isaac Guggenheim
Peter H. Wyden,Ron Lee Wyden
Irving Kaplansky,Lucy Kaplansky
Meyer Guggenheim,Solomon R. Guggenheim
Meyer Guggenheim,Simon Guggenheim
Meyer Guggenheim,William B. Guggenheim
Zalman King,Gillian Lefkowitz
Henry Middleton,Arthur Middleton
Jim Kelly,Erin Kelly
Kim Basinger,Ireland Baldwin
Henry Middleton,Hester Middleton
Carrie Fisher,Billie Lourd
Melville Shavelson,Richard Shavelson
John S. Barbour,Alfred Madison Barbour
John S. Barbour,James Barbour
Inge Morath,Rebecca Miller
Dave Brubeck,Darius Brubeck
Dave Brubeck,Chris Brubeck
Inge Morath,Daniel Miller
John Barry,Jonpatrick Barry
John Barry,Suzy Prendergast
Lorin Maazel,Fiona Maazel
Robert L. Bacon,Alexandra Murray Bacon
Robert L. Bacon,Virginia Murray Bacon
Wiz Khalifa,Sebastian Taylor Thomaz
Yoko Ono,Sean Lennon
Sidney Weinberg,John L. Weinberg
Michael Douglas,Dylan Douglas
Rosanna Arquette,Zoe Sidel
Matthew Fontaine Maury,Diana Fontaine Maury Corbin
Henry E. Sigerist,Nora Beeson
John Osteen,Joel Osteen
August Belmont,Raymond Rodgers Belmont
August Belmont,Perry Belmont
Alan Arkin,Adam Arkin
Samuel Mitja Rapoport,Tom Rapoport
August Belmont,Oliver Belmont
Howard Zinn,Jeff Zinn
Jean Piccard,Don Piccard
Lena Horne,Gail Lumet Buckley
Clark Gregg,Stella Gregg
Talia Shire,Jason Schwartzman
Thelonious Monk,T. S. Monk
Bill Paxton,James Paxton
Samuel Mitja Rapoport,Michael Rapoport
William Julius Wilson,Paula Wilson
Talia Shire,Robert Coppola Schwartzman
Elmer Bernstein,Peter Bernstein
John Barry,Kate Barry
Jim Belushi,Robert Belushi
Alan Arkin,Matthew Arkin
Alfred Grünwald,Henry Grunwald
Gregory Peck,Cecilia Peck
Nicholas Fish,Hamilton Fish
Jamie Lee Curtis,Thomas Guest
Andrew Pickens,Francis Wilkinson Pickens
Michael Douglas,Carys Zeta
Dave Brubeck,Matt Brubeck
John Hay,Helen Hay Whitney
Edmond O'Brien,Brendan O'Brien
Jim Lovell,Jay Lovell
Alexander Haig,Brian Haig
Rudolf Callmann,Ellen Callmann
James Gordon,Barbara Gordon
Robert L. Bacon,Martha Bacon
John Hay,Alice Wadsworth
Elmer Bernstein,Gregory Bernstein
Otto E. Neugebauer,Gerald Neugebauer
Alan J. Heeger,David Heeger
Jamie Lee Curtis,Annie Guest
Max Frankel,David Frankel
Jim Lovell,Barbara Lovell
Jim Lovell,Jeffrey Lovell
Lars Onsager,Erling Onsager
James Gordon,"James Gordon, Jr."
Jim Lovell,Susan Lovell
Michael Douglas,Cameron Douglas
Oliver Stone,Sean Stone
Éamon de Valera,Rúaidhrí de Valera
Zbigniew Brzezinski,Mark Brzezinski
Jerry Unser,Johnny Unser
Éamon de Valera,Máirin de Valéra
Sarah Jessica Parker,James Wilkie Broderick
Zbigniew Brzezinski,Mika Brzezinski
Margaret Mead,Mary Catherine Bateson
The Notorious B.I.G.,Christopher Jordan Wallace
Sonny Bono,Chaz Bono
Walter Szczerbiak,Wally Szczerbiak
Meg Ryan,Jack Quaid
Bob Said,Boris Said
Cybill Shepherd,Clementine Ford
Kate Hudson,Ryder Robinson
Eddie Cheever,Eddie Cheever III
Nancy Pelosi,"Paul Pelosi, Jr."
O. Henry,Margaret Worth Porter
Elisha Otis,Norton Prentiss Otis
Tony Bettenhausen,Gary Bettenhausen
Sarah Jessica Parker,Tabitha Hodge Broderick
Bill Christian,Dave Christian
Tony Bettenhausen,"Tony Bettenhausen, Jr."
Sarah Jessica Parker,Marion Loretta Elwell Broderick
Roger Penske,Gregory Penske
Éamon de Valera,Éamon de Valera
Éamon de Valera,Vivion de Valera
Éamon de Valera,Brian de Valera
Éamon de Valera,Emer de Valera
Éamon de Valera,Terry de Valera
Luis Walter Alvarez,Walter Alvarez
Jennifer Garner,Sam Affleck
Jon Voight,James Haven
Kate Hudson,Rani Fujikawa
Roger Penske,Jay Penske
Aaron Burr,Theodosia Burr Alston
Boris Johnson,Lara Lettice Johnson
Boris Johnson,Cassia Peaches Johnson
Boris Johnson,Milo Arthur Johnson
Boris Johnson,Theodore Apollo Johnson
Jon Voight,Angelina Jolie
Thomas Hunt Morgan,Isabel Morgan
Mario Andretti,Michael Andretti
Jennifer Garner,Seraphina Affleck
Mario Andretti,Jeff Andretti
"John Pierpont Morgan, Jr.",Henry Sturgis Morgan
Alexander Hamilton,John Church Hamilton
Niki de Saint Phalle,Laura Duke Condominas
Alexander Hamilton,James Alexander Hamilton
Katie Holmes,Suri Cruise
Mark Donohue,David Donohue
Alexander Hamilton,William S. Hamilton
Alexander Hamilton,Angelica Hamilton
"John Pierpont Morgan, Jr.",Junius Spencer Morgan III
Norman Mailer,Kate Mailer
Ice Cube,O'Shea Jackson Jr.
Anna Nicole Smith,Daniel Wayne Smith
Anna Nicole Smith,Dannielynn Birkhead
Milla Jovovich,Ever Gabo Anderson
Alexander Hamilton,Alexander Hamilton Jr.
Shaquille O'Neal,Amirah O'Neal
Melanie Griffith,Dakota Johnson
Norman Mailer,Michael Mailer
Alec Baldwin,Ireland Baldwin
Raymond Davis Jr.,Andrew M. Davis
Milla Jovovich,Dashiel Edan Anderson
Alexander Hamilton,Philip Hamilton
Alexander Hamilton,Philip Hamilton (the second)
Shaquille O'Neal,Shaqir O’Neal
Sarah Michelle Gellar,Charlotte Prinze
Alexander Hamilton,Eliza Hamilton Holly
Shaquille O'Neal,Me'arah O'Neal
Natalie Wood,Natasha Gregson Wagner
Philip K. Dick,Isa Dick Hackett
Joseph Pulitzer,Ralph Pulitzer
James Fenimore Cooper,Susan Fenimore Cooper
Lenny Kravitz,Zoë Kravitz
Henry Cabot Lodge,George Cabot Lodge
Norman Mailer,Stephen Mailer
Norman Mailer,John Buffalo Mailer
Shaquille O'Neal,Shareef O'Neal
Shaquille O'Neal,Taahirah O'Neal
Nancy Pelosi,Alexandra Pelosi
Zbigniew Brzezinski,Ian Brzezinski
Kareem Abdul-Jabbar,"Kareem Abdul-Jabbar, Jr."
Oral Roberts,Richard Roberts
Milton Ager,Shana Alexander
Bobby Unser,Robby Unser
Sarah Michelle Gellar,Rocky Prinze
Michael Andretti,Marco Andretti
Nancy Pelosi,Christine Pelosi
Nina Simone,Lisa Simone
Emilio G. Segrè,Claudio Segrè
George J. Terwilliger III,G. Zachary Terwilliger
"John DeCuir, Sr.","John F. DeCuir, Jr."
Robert L. Surtees,Bruce Surtees
Melanie Griffith,Stella Banderas
Amy Lee,Jack Hartzler
Ernie Ball,Sherwood Ball
Ernie Ball,Sterling Ball
Rosalynn Carter,Jack Carter
George Steinbrenner,Hal Steinbrenner
Poul Anderson,Astrid Anderson Bear
Laura Dern,Ellery Harper
Vincent Price,Mary Victoria Price
Ron Perlman,Blake Perlman
George Steinbrenner,Hank Steinbrenner
Michael Madsen,Christian Madsen
Cheryl Ladd,Jordan Ladd
Rosalynn Carter,Amy Carter
Jacob Schiff,Mortimer L. Schiff
Will Ferrell,Magnus Ferrell
Elihu Root,Edith Root
Will Ferrell,Axel Ferrell
John Browning,Val A. Browning
Laura Dern,Jaya Harper
Ron Perlman,Brandon Perlman
Jeb Bush,"John Bush, Jr."
Jeb Bush,Noelle Bush
Michael Dell,Juliette Dell
Michael Dell,Zachary Dell
L. Ron Hubbard,Diana Hubbard
Jeb Bush,George P. Bush
Courtney Love,Frances Bean Cobain
Demas Barnes,Mildred Barnes Bliss
Will Ferrell,Mattias Ferrell
Andreas Papandreou,Andreas Papandreou
Adam Levine,Dusty Rose Levine
Carole King,Louise Goffin
Rosalynn Carter,James Earl Carter III
Rosalynn Carter,Jeffrey (Donnel) Carter
Muddy Waters,Big Bill Morganfield
Andreas Papandreou,Níkos Papandréou
Francis Lewis,Ann Lewis
Andreas Papandreou,Sofia Papandreou
Andreas Papandreou,George Papandreou
Andreas Papandreou,Emilia Nyblom
Henry Muhlenberg,Gotthilf Heinrich Ernst Muhlenberg
Henry Muhlenberg,Frederick Muhlenberg
Francis Lewis,Morgan Lewis
Henry Muhlenberg,Peter Muhlenberg
Muddy Waters,Mud Morganfield
Francis Lewis,Francis Lewis
Paul Anka,Anthea Anka
John Edwards,Cate Edwards
Sam Houston,Andrew Jackson Houston
Abraham Joshua Heschel,Susannah Heschel
