person,child
Serena Williams,"Alexis Olympia Ohanian, Jr."
Heinrich Schliemann,Agamemnon Schliemann
George Pataki,Allison Pataki
Heinrich Schliemann,Andromache Schliemann
Christian Shephard,Claire Littleton
Nelson Rockefeller,Rodman Rockefeller
Rupert Murdoch,Prudence Murdoch
Nelson Rockefeller,Michael Rockefeller
Nelson Rockefeller,Steven Clark Rockefeller
Judy Garland,Joey Luft
John Cassavetes,Alexandra Cassavetes
Dwayne Johnson,Simone Alexandra Johnson
Fred Zinnemann,Tim Zinnemann
Bob Bryan,Micaela Bryan
Christian Shephard,Jack Shephard
John Huston,Anjelica Huston
Erik Erikson,Kai T. Erikson
Sidney Lumet,Jenny Lumet
Otto Preminger,Erik Lee Preminger
John Jacob Astor I,"William Backhouse Astor, Sr."
John Huston,Danny Huston
Dina Merrill,Heather Robertson
John Jacob Astor I,John Jacob Astor
Miloš Forman,Matěj Forman
John Jacob Astor I,Henry Astor
Antonin Scalia,Eugene Scalia
Howard Hawks,Kitty Hawks
Bob Bryan,Bobby Bryan Jr.
John Huston,Allegra Huston
John Huston,Tony Huston
Miloš Forman,Petr Forman
Sidney Lumet,Amy Lumet
Dina Merrill,David Rumbough
Dina Merrill,Stanley H. Rumbough
Dina Merrill,Nedenia Colgate Rumbough
William Wyler,Catherine Wyler
Howard Hawks,David Hawks
Howard Hawks,Gregg Hawks
Howard Hawks,Barbara Hawks
Mike Nichols,Jenny Nichols
Mike Nichols,Max Nichols
Mike Nichols,Daisy Nichols
May Sutton,Dorothy Cheney
Bill Gates,Rory John Gates
Andre Agassi,Jaden Gil Agassi
Otto Fritz Meyerhof,Walter Meyerhof
Ruth Bader Ginsburg,Jane Ginsburg
John Coltrane,Ravi Coltrane
Blake Edwards,Emma Walton Hamilton
George Stevens,"George Stevens, Jr."
Robert Altman,Robert Reed Altman
Joe Biden,Hunter Biden
Blake Edwards,Geoffrey Edwards
Wernher von Braun,Margrit von Braun
Bill Gates,Phoebe Adele Gates
Alfred Hitchcock,Pat Hitchcock
Blake Edwards,Jennifer Edwards
Michael Dawson,Walt Lloyd
Igor Stravinsky,Soulima Stravinsky
Joe Biden,Beau Biden
Tim Burton,Billy Burton
"Jon Huntsman, Jr.",Abby Huntsman
John Jacob Astor I,A Son Astor
John Jacob Astor I,Dorothea Astor
John Jacob Astor I,Eliza Astor
John Jacob Astor I,Magdalen Astor
John Jacob Astor I,Sarah Astor
Mitt Romney,Tagg Romney
Ruth Bader Ginsburg,James Steven Ginsburg
Pauline Betz,Kim Addonizio
Hugo Münsterberg,Margarete Münsterberg
Hillary Clinton,Chelsea Clinton
David Rockefeller,Abby Rockefeller
David Rockefeller,Neva Goodwin
Andre Agassi,Jaz Elle Agassi
Emil Artin,Michael Artin
Anna Faris,Jack Pratt
Dr. Dre,Hood Surgeon
Jason Lee,Pilot Lee
John Landis,Max Landis
David Rockefeller,"David Rockefeller, Jr."
John Ford,Barbara Ford
Ida Rolf,Richard Rolf  Demmerle
Harry S. Truman,Margaret Truman
David Rockefeller,Eileen Rockefeller Growald
Bill Gates,Jennifer Katherine Gates
Joseph L. Mankiewicz,Tom Mankiewicz
Andrei Konchalovsky,Yegor Konchalovsky
Marlene Dietrich,Maria Riva
Rupert Murdoch,James Murdoch
David Rockefeller,Peggy Dulany
David Rockefeller,Richard Rockefeller
Rupert Murdoch,Lachlan Murdoch
Francis Ford Coppola,Sofia Coppola
Rupert Murdoch,Grace Helen Murdoch
Mark Twain,Susy Clemens
Cheech Marin,Max Marin
Max Reinhardt,Wolfgang Reinhardt
"Charles Francis Adams, Sr.",Brooks Adams
"Charles Francis Adams, Sr.",Henry Adams
Paul Warburg,Bettina Warburg
Malcolm McKenna,Bruce McKenna
Carl Laemmle,Carl Laemmle Jr.
"Charles Francis Adams, Sr.","Charles Francis Adams, Jr."
Charlize Theron,August Theron
Clark Gable,Bunker Spreckels
"Charles Francis Adams, Sr.",John Quincy Adams II
George Lopez,Mayan Lopez
Hermann Fränkel,Hans Fränkel
Arthur Casagrande,Vivien Casagrande
Eugene Meyer,Katharine Graham
Clark Gable,John Clark Gable
Stanley Kramer,Kat Kramer
Elia Kazan,Nicholas Kazan
Paul Warburg,James Warburg
